,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
959,2710,8,CBA Attila Csemege,23,1012,Budapest,Attila út,109,,POINT (47.50175 19.02784),Attila u. 109.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,07:00:00,07:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,20:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:00-21:00; Sa 07:00-21:00; Su 07:00-20:00; PH off,2022-09-16 08:59:01.523763+00:00,,,47.50175,19.02784,8,CBA,shop,"{'payment:cash': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'shop': 'convenience', 'payment:maestro': 'yes', 'payment:mastercard': 'yes', 'payment:mastercard_electronic': 'yes', 'brand': 'CBA', 'payment:visa_electron': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,2000.0,200.0,5.0,,,,,2022-09-16 09:37:36.689218,
960,2976,8,Ybl Bistro,24,1013,Budapest,Ybl Miklós tér,2-6,,POINT (47.49349 19.04313),Ybl Miklós tér 2-6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,,,,,,,,,,,,,,,,,False,Mo-Su 10:00-22:00; PH off,2022-09-16 08:59:01.523763+00:00,,,47.49349,19.04313,8,CBA,shop,"{'payment:cash': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'shop': 'convenience', 'payment:maestro': 'yes', 'payment:mastercard': 'yes', 'payment:mastercard_electronic': 'yes', 'brand': 'CBA', 'payment:visa_electron': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,2000.0,200.0,5.0,,,,,2022-09-16 09:37:36.689218,
961,2934,8,Várbistro,25,1014,Budapest,Dísz tér,8,,POINT (47.49973 19.03497),Dísz tér 8.,,,,,,,,,,,,,,,,,+36 30 237 0039,varbistro@cba-budavar.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-09-16 08:59:01.523763+00:00,,,47.49973,19.03497,8,CBA,shop,"{'payment:cash': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'shop': 'convenience', 'payment:maestro': 'yes', 'payment:mastercard': 'yes', 'payment:mastercard_electronic': 'yes', 'brand': 'CBA', 'payment:visa_electron': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,2000.0,200.0,5.0,,,,,2022-09-16 09:37:36.689218,
962,2651,8,Budavár Élelmiszer üzlet,25,1014,Budapest,Tárnok utca,22-24,,POINT (47.50098 19.03389),Tárnok u. 22-24,,,,,,,,,,,,,,,,,+36 1 225 3284,budavar@cba-budavar.hu,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,09:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,18:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 07:00-20:00; Su 09:00-18:00; PH off,2022-09-16 08:59:01.523763+00:00,,,47.50098,19.03389,8,CBA,shop,"{'payment:cash': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'shop': 'convenience', 'payment:maestro': 'yes', 'payment:mastercard': 'yes', 'payment:mastercard_electronic': 'yes', 'brand': 'CBA', 'payment:visa_electron': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,2000.0,200.0,5.0,,,,,2022-09-16 09:37:36.689218,
963,2662,8,Batthyány Csemege,26,1015,Budapest,Batthyány utca,28,,POINT (47.50701 19.03134),Batthyány utca 28,,,,,,,,,,,,,,,,,+36 30 278 7759,batthyany@mcsemege.hu,,,,,,,,,,,,,,,,,,,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,07:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su 08:00-17:00; PH off,2022-09-16 08:59:01.523763+00:00,,,47.50701,19.03134,8,CBA,shop,"{'payment:cash': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'shop': 'convenience', 'payment:maestro': 'yes', 'payment:mastercard': 'yes', 'payment:mastercard_electronic': 'yes', 'brand': 'CBA', 'payment:visa_electron': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,2000.0,200.0,5.0,,,,,2022-09-16 09:37:36.689218,
964,2665,8,Naphegy Csemege,27,1016,Budapest,Naphegy tér,3,,POINT (47.49268 19.03244),Naphegy tér 3,,,,,,,,,,,,,,,,,+36 30 864 3095,naphegy@mcsemege.hu,,,,,,,,,,,,,,,,,,,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,07:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su 08:00-17:00; PH off,2022-09-16 08:59:01.523763+00:00,,,47.49268,19.03244,8,CBA,shop,"{'payment:cash': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'shop': 'convenience', 'payment:maestro': 'yes', 'payment:mastercard': 'yes', 'payment:mastercard_electronic': 'yes', 'brand': 'CBA', 'payment:visa_electron': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,2000.0,200.0,5.0,,,,,2022-09-16 09:37:36.689218,
965,2656,8,Budenz Csemege,28,1021,Budapest,Budenz út,26,,POINT (47.5203 18.98739),Budenz út 26.,,,,,,,,,,,,,,,,,+36 30 746 5696,budenz@mcsemege.hu,,,,,,,,,,,,,,,,,,,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,07:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su 08:00-17:00; PH off,2022-09-16 08:59:01.523763+00:00,,,47.5203,18.98739,8,CBA,shop,"{'payment:cash': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'shop': 'convenience', 'payment:maestro': 'yes', 'payment:mastercard': 'yes', 'payment:mastercard_electronic': 'yes', 'brand': 'CBA', 'payment:visa_electron': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,2000.0,200.0,5.0,,,,,2022-09-16 09:37:36.689218,
966,2684,8,Cba Hüvösvölgy,28,1021,Budapest,Hűvösvölgyi út,135,,POINT (47.53089 18.97851),Hüvösvölgyi u.135.,,,,,,,,,,,,,,,,,+36 013927087,huvosvolgyi@cba-vorosvar.hu,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,,18:00:00,18:00:00,18:00:00,18:00:00,18:00:00,14:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 07:00-18:00; Sa 07:00-14:00; PH off,2022-09-16 08:59:01.523763+00:00,,,47.53089,18.97851,8,CBA,shop,"{'payment:cash': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'shop': 'convenience', 'payment:maestro': 'yes', 'payment:mastercard': 'yes', 'payment:mastercard_electronic': 'yes', 'brand': 'CBA', 'payment:visa_electron': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,2000.0,200.0,5.0,,,,,2022-09-16 09:37:36.689218,
967,2689,8,Cba Margit krt.,31,1024,Budapest,Margit körút,50-52,,POINT (47.51066 19.03205),Margit krt.50-52.,,,,,,,,,,,,,,,,,+36 012010882,margit@cba-vorosvar.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-09-16 08:59:01.523763+00:00,,,47.51066,19.03205,8,CBA,shop,"{'payment:cash': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'shop': 'convenience', 'payment:maestro': 'yes', 'payment:mastercard': 'yes', 'payment:mastercard_electronic': 'yes', 'brand': 'CBA', 'payment:visa_electron': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,2000.0,200.0,5.0,,,,,2022-09-16 09:37:36.689218,
968,2948,8,CBA Élelmiszer,31,1024,Budapest,Szilágyi Erzsébet fasor,13-15,,POINT (47.50886 19.01857),Szilágyi Erzsébet fasor 13-15,,,,,,,,,,,,,,,,,+36 1 212 2823;+36 3306823315,postmaster@szilagyierzsebetfasor.t-online.hu,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,08:00:00,,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,20:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 07:00-21:00; Sa 08:00-20:00; PH off,2022-09-16 08:59:01.523763+00:00,,,47.50886,19.01857,8,CBA,shop,"{'payment:cash': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'shop': 'convenience', 'payment:maestro': 'yes', 'payment:mastercard': 'yes', 'payment:mastercard_electronic': 'yes', 'brand': 'CBA', 'payment:visa_electron': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,2000.0,200.0,5.0,,,,,2022-09-16 09:37:36.689218,
