,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
7651,3586,46,Expressz Győr - Bartók Béla utca,4059,9024,Győr,Bartók Béla utca,13,,POINT (47.68219 17.63823),Bartók Béla u. 13.,https://tesco.hu/aruhazak/aruhaz/tesco-expressz-gyor-bartok-bela-utca/,,,,,,,,,,,,,,,45016,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,00:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,00:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-21:00; PH off,2022-06-01 13:18:53.513086+00:00,,,47.68219,17.63823,46,S-Market,shop,"{'internet_access:ssid': 'tesco-internet', 'payment:visa': 'yes', 'payment:multipay': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'ref:vatin': 'HU10307078', 'ref:HU:company': '13-10-040628', 'payment:visa_electron': 'yes', 'payment:contactless': 'yes', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.', 'loyalty_card': 'yes', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'alt_name': 'Tesco Expressz', 'payment:wire_transfer': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:mastercard': 'yes', 'payment:otp_cafeteria': 'yes', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'payment:v_pay': 'yes', 'internet_access:fee': 'no', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'air_conditioning': 'yes', 'payment:edenred_voucher': 'yes', 'internet_access': 'wlan', 'payment:gift_card': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:erzsebet_plus': 'yes'}",https://tesco.hu,husmrktexp,(tesco|smarket|s-market|s market),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
7652,3584,46,Expressz Győr - Hunyadi utca,4059,9024,Győr,Hunyadi utca,2,,POINT (47.68045 17.63266),Hunyadi u. 2.,https://tesco.hu/aruhazak/aruhaz/tesco-expressz-gyor-hunyadi-utca/,,,,,,,,,,,,,,,45017,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,00:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,00:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-20:00; PH off,2022-06-01 13:18:53.513086+00:00,,,47.68045,17.63266,46,S-Market,shop,"{'internet_access:ssid': 'tesco-internet', 'payment:visa': 'yes', 'payment:multipay': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'ref:vatin': 'HU10307078', 'ref:HU:company': '13-10-040628', 'payment:visa_electron': 'yes', 'payment:contactless': 'yes', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.', 'loyalty_card': 'yes', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'alt_name': 'Tesco Expressz', 'payment:wire_transfer': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:mastercard': 'yes', 'payment:otp_cafeteria': 'yes', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'payment:v_pay': 'yes', 'internet_access:fee': 'no', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'air_conditioning': 'yes', 'payment:edenred_voucher': 'yes', 'internet_access': 'wlan', 'payment:gift_card': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:erzsebet_plus': 'yes'}",https://tesco.hu,husmrktexp,(tesco|smarket|s-market|s market),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
7653,3571,46,Győr Expressz - Lajta utca,4059,9024,Győr,Lajta utca,12,,POINT (47.66936 17.63962),Lajta u. 12.,https://tesco.hu/aruhazak/aruhaz/tesco-gyor-expressz-lajta-utca/,,,,,,,,,,,,,,,43001,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,07:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,16:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-21:00; Su 07:00-16:00; PH off,2022-06-01 13:18:53.513086+00:00,,,47.66936,17.63962,46,S-Market,shop,"{'internet_access:ssid': 'tesco-internet', 'payment:visa': 'yes', 'payment:multipay': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'ref:vatin': 'HU10307078', 'ref:HU:company': '13-10-040628', 'payment:visa_electron': 'yes', 'payment:contactless': 'yes', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.', 'loyalty_card': 'yes', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'alt_name': 'Tesco Expressz', 'payment:wire_transfer': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:mastercard': 'yes', 'payment:otp_cafeteria': 'yes', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'payment:v_pay': 'yes', 'internet_access:fee': 'no', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'air_conditioning': 'yes', 'payment:edenred_voucher': 'yes', 'internet_access': 'wlan', 'payment:gift_card': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:erzsebet_plus': 'yes'}",https://tesco.hu,husmrktexp,(tesco|smarket|s-market|s market),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
7654,3588,46,Expressz Győr - Köztelek utca,4060,9025,Győr,Köztelek utca,8,,POINT (47.68635 17.61824),Köztelek u. 8.,https://tesco.hu/aruhazak/aruhaz/tesco-expressz-gyor-koztelek-utca/,,,,,,,,,,,,,,,45018,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,14:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-21:00; Su 06:00-14:00; PH off,2022-06-01 13:18:53.513086+00:00,,,47.68635,17.61824,46,S-Market,shop,"{'internet_access:ssid': 'tesco-internet', 'payment:visa': 'yes', 'payment:multipay': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'ref:vatin': 'HU10307078', 'ref:HU:company': '13-10-040628', 'payment:visa_electron': 'yes', 'payment:contactless': 'yes', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.', 'loyalty_card': 'yes', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'alt_name': 'Tesco Expressz', 'payment:wire_transfer': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:mastercard': 'yes', 'payment:otp_cafeteria': 'yes', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'payment:v_pay': 'yes', 'internet_access:fee': 'no', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'air_conditioning': 'yes', 'payment:edenred_voucher': 'yes', 'internet_access': 'wlan', 'payment:gift_card': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:erzsebet_plus': 'yes'}",https://tesco.hu,husmrktexp,(tesco|smarket|s-market|s market),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
7655,3590,46,Expressz Győr - Hédervári út,4061,9026,Győr,Hédervári utca,20,,POINT (47.69457 17.63028),Hédervári u. 20.,https://tesco.hu/aruhazak/aruhaz/tesco-expressz-gyor-hedervari-ut/,,,,,,,,,,,,,,,45002,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,16:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-21:00; Su 08:00-16:00; PH off,2022-06-01 13:18:53.513086+00:00,,,47.69457,17.63028,46,S-Market,shop,"{'internet_access:ssid': 'tesco-internet', 'payment:visa': 'yes', 'payment:multipay': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'ref:vatin': 'HU10307078', 'ref:HU:company': '13-10-040628', 'payment:visa_electron': 'yes', 'payment:contactless': 'yes', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.', 'loyalty_card': 'yes', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'alt_name': 'Tesco Expressz', 'payment:wire_transfer': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:mastercard': 'yes', 'payment:otp_cafeteria': 'yes', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'payment:v_pay': 'yes', 'internet_access:fee': 'no', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'air_conditioning': 'yes', 'payment:edenred_voucher': 'yes', 'internet_access': 'wlan', 'payment:gift_card': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:erzsebet_plus': 'yes'}",https://tesco.hu,husmrktexp,(tesco|smarket|s-market|s market),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
7656,3612,46,Expressz Móvár - Szent I. kir. utca,4153,9200,Mosonmagyaróvár,Szent István király utca,44,,POINT (47.86276 17.27494),Szent I. kir. u. 44.,https://tesco.hu/aruhazak/aruhaz/tesco-expressz-movar-szent-i-kir-utca/,,,,,,,,,,,,,,,45005,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,14:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-21:00; Su 06:00-14:00; PH off,2022-06-01 13:18:53.513086+00:00,,,47.86276,17.27494,46,S-Market,shop,"{'internet_access:ssid': 'tesco-internet', 'payment:visa': 'yes', 'payment:multipay': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'ref:vatin': 'HU10307078', 'ref:HU:company': '13-10-040628', 'payment:visa_electron': 'yes', 'payment:contactless': 'yes', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.', 'loyalty_card': 'yes', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'alt_name': 'Tesco Expressz', 'payment:wire_transfer': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:mastercard': 'yes', 'payment:otp_cafeteria': 'yes', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'payment:v_pay': 'yes', 'internet_access:fee': 'no', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'air_conditioning': 'yes', 'payment:edenred_voucher': 'yes', 'internet_access': 'wlan', 'payment:gift_card': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:erzsebet_plus': 'yes'}",https://tesco.hu,husmrktexp,(tesco|smarket|s-market|s market),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
7657,3610,46,Expressz Móvár - Szent I. kir. utca,4153,9200,Mosonmagyaróvár,Szent István király utca,96,,POINT (47.85557 17.27842),Szent I. kir. u. 96.,https://tesco.hu/aruhazak/aruhaz/tesco-expressz-movar-szent-i-kir-utca-96/,,,,,,,,,,,,,,,45004,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,14:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-21:00; Su 06:00-14:00; PH off,2022-06-01 13:18:53.513086+00:00,,,47.85557,17.27842,46,S-Market,shop,"{'internet_access:ssid': 'tesco-internet', 'payment:visa': 'yes', 'payment:multipay': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'ref:vatin': 'HU10307078', 'ref:HU:company': '13-10-040628', 'payment:visa_electron': 'yes', 'payment:contactless': 'yes', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.', 'loyalty_card': 'yes', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'alt_name': 'Tesco Expressz', 'payment:wire_transfer': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:mastercard': 'yes', 'payment:otp_cafeteria': 'yes', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'payment:v_pay': 'yes', 'internet_access:fee': 'no', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'air_conditioning': 'yes', 'payment:edenred_voucher': 'yes', 'internet_access': 'wlan', 'payment:gift_card': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:erzsebet_plus': 'yes'}",https://tesco.hu,husmrktexp,(tesco|smarket|s-market|s market),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
7658,3631,46,Expressz Levél - Szövetkezet utca,4158,9221,Levél,Szövetkezet utca,84,,POINT (47.89598 17.20989),Szövetkezet u. 84.,https://tesco.hu/aruhazak/aruhaz/tesco-expressz-level-szovetkezet-utca/,,,,,,,,,,,,,,,45015,,,,,,,,,,,,,,,,,,,,,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,08:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,14:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 05:00-20:00; Su 08:00-14:00; PH off,2022-06-01 13:18:53.513086+00:00,,,47.89598,17.20989,46,S-Market,shop,"{'internet_access:ssid': 'tesco-internet', 'payment:visa': 'yes', 'payment:multipay': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'ref:vatin': 'HU10307078', 'ref:HU:company': '13-10-040628', 'payment:visa_electron': 'yes', 'payment:contactless': 'yes', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.', 'loyalty_card': 'yes', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'alt_name': 'Tesco Expressz', 'payment:wire_transfer': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:mastercard': 'yes', 'payment:otp_cafeteria': 'yes', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'payment:v_pay': 'yes', 'internet_access:fee': 'no', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'air_conditioning': 'yes', 'payment:edenred_voucher': 'yes', 'internet_access': 'wlan', 'payment:gift_card': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:erzsebet_plus': 'yes'}",https://tesco.hu,husmrktexp,(tesco|smarket|s-market|s market),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
7659,3626,46,Expressz Sopron - Hátsókapu utca,4229,9400,Sopron,Hátsókapu utca,8,,POINT (47.68343 16.59169),Hátsókapu. u. 8.,https://tesco.hu/aruhazak/aruhaz/tesco-expressz-sopron-hatsokapu-utca/,,,,,,,,,,,,,,,45007,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,16:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-21:00; Su 08:00-16:00; PH off,2022-06-01 13:18:53.513086+00:00,,,47.68343,16.59169,46,S-Market,shop,"{'internet_access:ssid': 'tesco-internet', 'payment:visa': 'yes', 'payment:multipay': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'ref:vatin': 'HU10307078', 'ref:HU:company': '13-10-040628', 'payment:visa_electron': 'yes', 'payment:contactless': 'yes', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.', 'loyalty_card': 'yes', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'alt_name': 'Tesco Expressz', 'payment:wire_transfer': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:mastercard': 'yes', 'payment:otp_cafeteria': 'yes', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'payment:v_pay': 'yes', 'internet_access:fee': 'no', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'air_conditioning': 'yes', 'payment:edenred_voucher': 'yes', 'internet_access': 'wlan', 'payment:gift_card': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:erzsebet_plus': 'yes'}",https://tesco.hu,husmrktexp,(tesco|smarket|s-market|s market),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
7660,3633,46,Expressz Sopron - IV. László utca,4229,9400,Sopron,IV. László király utca,39,,POINT (47.69224 16.5732),IV. László király u. 39.,https://tesco.hu/aruhazak/aruhaz/tesco-expressz-sopron-iv-laszlo-utca/,,,,,,,,,,,,,,,45010,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,16:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-21:00; Su 08:00-16:00; PH off,2022-06-01 13:18:53.513086+00:00,,,47.69224,16.5732,46,S-Market,shop,"{'internet_access:ssid': 'tesco-internet', 'payment:visa': 'yes', 'payment:multipay': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'ref:vatin': 'HU10307078', 'ref:HU:company': '13-10-040628', 'payment:visa_electron': 'yes', 'payment:contactless': 'yes', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.', 'loyalty_card': 'yes', 'brand:wikipedia': 'hu:Tesco', 'brand:wikidata': 'Q487494', 'alt_name': 'Tesco Expressz', 'payment:wire_transfer': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'payment:mastercard': 'yes', 'payment:otp_cafeteria': 'yes', 'ref:vatin:hu': '10307078-2-44', 'brand': 'Tesco', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'payment:v_pay': 'yes', 'internet_access:fee': 'no', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'air_conditioning': 'yes', 'payment:edenred_voucher': 'yes', 'internet_access': 'wlan', 'payment:gift_card': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:erzsebet_plus': 'yes'}",https://tesco.hu,husmrktexp,(tesco|smarket|s-market|s market),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
