,pa_id,poi_common_id,poi_name,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_additional_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_lat,poi_lon,poi_created,poi_updated,poi_deleted,pc_id,poi_common_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,do_not_export_addr_tags,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,additional_ref_name,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
4623,7210,19,,,0,0,,,,,POINT (47.43732 19.23989),Liszt Ferenc repülőtér,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.43732,19.23989,2023-01-03 08:36:20.733866+00:00,,,19,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,
4624,7168,19,,,28,1021,Budapest,Budakeszi út,45,,POINT (47.51842 18.98261),"1021 Budapest, Budakeszi út 45.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.51842,18.98261,2023-01-03 08:36:20.733866+00:00,,,19,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,
4625,7172,19,,,41,1035,Budapest,Vihar utca,3,,POINT (47.54505 19.03673),"1035 Budapest, Vihar utca 3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.54505,19.03673,2023-01-03 08:36:20.733866+00:00,,,19,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,
4626,7176,19,,,51,1046,Budapest,Szent László tér,1,,POINT (47.56701 19.09564),"1046 Budapest, Szt. László tér 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.56701,19.09564,2023-01-03 08:36:20.733866+00:00,,,19,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,
4627,7180,19,,,76,1081,Budapest,Dologház utca,3,,POINT (47.49577 19.08065),"1081 Budapest, Dologház utca 3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.49577,19.08065,2023-01-03 08:36:20.733866+00:00,,,19,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,
4628,7183,19,,,91,1097,Budapest,Vágóhíd utca,13,,POINT (47.47438 19.08289),"1097 Budapest, Vágóhíd utca 13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.47438,19.08289,2023-01-03 08:36:20.733866+00:00,,,19,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,
4629,7186,19,,,95,1103,Budapest,Martinovics tér,12,,POINT (47.4814 19.13209),"1103 Budapest, Martinovics tér 12.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4814,19.13209,2023-01-03 08:36:20.733866+00:00,,,19,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,
4630,7189,19,,,103,1113,Budapest,Tas vezér utca,9,,POINT (47.47676 19.03798),"1113 Budapest, Tas vezér utca 9.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.47676,19.03798,2023-01-03 08:36:20.733866+00:00,,,19,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,
4631,7192,19,,,116,1131,Budapest,Zsinór utca,8-12,,POINT (47.53635 19.08342),"1131 Budapest, Zsinór utca 8-12.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.53635,19.08342,2023-01-03 08:36:20.733866+00:00,,,19,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,
4632,7195,19,,,133,1149,Budapest,Egressy út,114-116,,POINT (47.51445 19.11879),"1149 Budapest, Egressy út 114-116.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.51445,19.11879,2023-01-03 08:36:20.733866+00:00,,,19,Hivatásos Tűzoltó-parancsnokság,fire_station,"{'amenity': 'fire_station', 'fire_station:type': 'main_station'}",https://www.katasztrofavedelem.hu,hufiremsta,(tűzoltó-parancsnokság),,True,False,True,False,2000.0,500.0,100.0,,,,,,2023-01-03 08:41:32.404992,
