,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance,poi_new
5532,155,29,,36,1016,Budapest,Mészáros utca,19,,POINT (47.49454 19.0284),Mészáros utca 19.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,nan,ABB,Terra 54 CJG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-07 10:14:40.969916+00:00,,,47.494546,19.028408,29,MOL Plugee,charging_station,"{'operator': 'MOL Nyrt.', 'authentication:none': 'yes', 'contact:email': 'info@molplugee.hu', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'ref:HU:company': '01-10-041683', 'contact:website': 'https://molplugee.hu/', 'fee': 'yes', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'authentication:app': 'yes', 'parking:fee': 'no', 'brand': 'MOL', 'ref:vatin': 'HU10625790', 'motorcar': 'yes', 'amenity': 'charging_station'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,7972580465,OSM_object_type.node,5,0,2021-12-17 19:39:56.000000,"{'socket:type2_cable:output': '22 kW', 'addr:street': 'Mészáros utca', 'source:molplugee.hu:date': '2021-12-17', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'addr:housenumber': '19', 'model': 'Terra 54 CJG', 'ref:HU:company': '01-10-041683', 'socket:type2_cable': '1', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'amenity': 'charging_station', 'parking:fee': 'no', 'ref:vatin': 'HU10625790', 'addr:city': 'Budapest', 'name': 'MOL Plugee', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'socket:chademo:output': '50 kW', 'brand': 'MOL', 'addr:postcode': '1016', 'manufacturer': 'ABB', 'capacity': '2', 'contact:website': 'https://molplugee.hu', 'fee': 'yes', 'socket:type2_combo:output': '50 kW', 'fixme': 'verify import', 'contact:email': 'info@molplugee.hu', 'authentication:app': 'yes', 'socket:type2_combo': '1', 'socket:chademo': '1', 'authentication:none': 'yes'}",,0,
5533,200,29,,37,1021,Budapest,Hűvösvölgyi út,136,,POINT (47.53708 18.96758),Hűvösvölgyi út 136.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,43 kW,,nan,Efacec,QC45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-07 10:14:40.969916+00:00,,,47.5371617,18.9678233,29,MOL Plugee,charging_station,"{'operator': 'MOL Nyrt.', 'authentication:none': 'yes', 'contact:email': 'info@molplugee.hu', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'ref:HU:company': '01-10-041683', 'contact:website': 'https://molplugee.hu/', 'fee': 'yes', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'authentication:app': 'yes', 'parking:fee': 'no', 'brand': 'MOL', 'ref:vatin': 'HU10625790', 'motorcar': 'yes', 'amenity': 'charging_station'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,8548746434,OSM_object_type.node,4,0,2022-02-25 20:07:34.000000,"{'socket:type2_cable:output': '43 kW', 'addr:street': 'Hűvösvölgyi út', 'contact:email': 'info@molplugee.hu', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'addr:housenumber': '136', 'model': 'QC45', 'ref:HU:company': '01-10-041683', 'socket:type2_cable': '1', 'source': 'website', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'covered': 'no', 'opening_hours': '24/7', 'operator:wikipedia': 'hu:MOL Magyar Olaj- és Gázipari Nyrt.', 'parking:fee': 'no', 'ref:vatin': 'HU10625790', 'access': 'yes', 'motorcar': 'yes', 'name': 'MOL Plugee', 'source:date': '2021-12-17', 'socket:type2:output': '43kW', 'operator': 'MOL Nyrt.', 'socket:chademo:output': '50 kW', 'addr:city': 'Budapest', 'brand': 'MOL', 'addr:postcode': '1021', 'manufacturer': 'Efacec', 'capacity': '2', 'contact:website': 'https://molplugee.hu', 'fee': 'yes', 'socket:type2_combo:output': '50 kW', 'amenity': 'charging_station', 'operator:wikidata': 'Q549181', 'authentication:app': 'yes', 'socket:type2_combo': '1', 'socket:type2': '1', 'socket:chademo': '1', 'authentication:none': 'yes'}",,0,
5534,157,29,,51,1036,Budapest,Árpád fejedelem útja,103,,POINT (47.53607 19.04647),Árpád fejedelem útja 103.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,nan,Circontrol,Raption 50 Trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-07 10:14:40.969916+00:00,,,47.5365762,19.046733,29,MOL Plugee,charging_station,"{'operator': 'MOL Nyrt.', 'authentication:none': 'yes', 'contact:email': 'info@molplugee.hu', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'ref:HU:company': '01-10-041683', 'contact:website': 'https://molplugee.hu/', 'fee': 'yes', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'authentication:app': 'yes', 'parking:fee': 'no', 'brand': 'MOL', 'ref:vatin': 'HU10625790', 'motorcar': 'yes', 'amenity': 'charging_station'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,7070330415,OSM_object_type.node,5,0,2021-12-17 19:39:56.000000,"{'socket:type2_cable:output': '22 kW', 'addr:street': 'Árpád fejedelem útja', 'source:molplugee.hu:date': '2021-12-17', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'addr:housenumber': '103', 'model': 'Raption 50 Trio', 'ref:HU:company': '01-10-041683', 'socket:type2_cable': '1', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'amenity': 'charging_station', 'parking:fee': 'no', 'ref:vatin': 'HU10625790', 'addr:city': 'Budapest', 'name': 'MOL Plugee', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'socket:chademo:output': '50 kW', 'brand': 'MOL', 'addr:postcode': '1036', 'manufacturer': 'Circontrol', 'capacity': '2', 'contact:website': 'https://molplugee.hu', 'fee': 'yes', 'socket:type2_combo:output': '50 kW', 'fixme': 'details', 'contact:email': 'info@molplugee.hu', 'authentication:app': 'yes', 'socket:type2_combo': '1', 'socket:chademo': '1', 'authentication:none': 'yes'}",,0,
5535,144,29,,54,1039,Budapest,Szentendrei út,255,,POINT (47.58124 19.04893),Szentendrei út 255.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,43 kW,,nan,Efacec,QC45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-07 10:14:40.969916+00:00,,,47.581242,19.048935,29,MOL Plugee,charging_station,"{'operator': 'MOL Nyrt.', 'authentication:none': 'yes', 'contact:email': 'info@molplugee.hu', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'ref:HU:company': '01-10-041683', 'contact:website': 'https://molplugee.hu/', 'fee': 'yes', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'authentication:app': 'yes', 'parking:fee': 'no', 'brand': 'MOL', 'ref:vatin': 'HU10625790', 'motorcar': 'yes', 'amenity': 'charging_station'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,7972580464,OSM_object_type.node,6,0,2021-12-17 19:39:56.000000,"{'socket:type2_cable:output': '43 kW', 'addr:street': 'Szentendrei út', 'source:molplugee.hu:date': '2021-12-17', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'addr:housenumber': '255', 'model': 'QC45', 'ref:HU:company': '01-10-041683', 'socket:type2_cable': '1', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'amenity': 'charging_station', 'parking:fee': 'no', 'ref:vatin': 'HU10625790', 'addr:city': 'Budapest', 'name': 'MOL Plugee', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'socket:chademo:output': '50 kW', 'brand': 'MOL', 'addr:postcode': '1039', 'manufacturer': 'Efacec', 'capacity': '2', 'contact:website': 'https://molplugee.hu', 'fee': 'yes', 'socket:type2_combo:output': '50 kW', 'fixme': 'verify import', 'contact:email': 'info@molplugee.hu', 'authentication:app': 'yes', 'socket:type2_combo': '1', 'socket:chademo': '1', 'authentication:none': 'yes'}",,0,
5536,158,29,,58,1044,Budapest,Váci út,84-90,,POINT (47.57494 19.08074),Váci út 84-90.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,nan,ABB,Terra 53 CJG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-07 10:14:40.969916+00:00,,,47.574947,19.080747,29,MOL Plugee,charging_station,"{'operator': 'MOL Nyrt.', 'authentication:none': 'yes', 'contact:email': 'info@molplugee.hu', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'ref:HU:company': '01-10-041683', 'contact:website': 'https://molplugee.hu/', 'fee': 'yes', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'authentication:app': 'yes', 'parking:fee': 'no', 'brand': 'MOL', 'ref:vatin': 'HU10625790', 'motorcar': 'yes', 'amenity': 'charging_station'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,7972580463,OSM_object_type.node,5,0,2021-12-17 19:39:56.000000,"{'socket:type2_cable:output': '22 kW', 'addr:street': 'Váci út', 'source:molplugee.hu:date': '2021-12-17', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'addr:housenumber': '84-90', 'model': 'Terra 53 CJG', 'ref:HU:company': '01-10-041683', 'socket:type2_cable': '1', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'amenity': 'charging_station', 'parking:fee': 'no', 'ref:vatin': 'HU10625790', 'addr:city': 'Budapest', 'name': 'MOL Plugee', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'socket:chademo:output': '50 kW', 'brand': 'MOL', 'addr:postcode': '1044', 'manufacturer': 'ABB', 'capacity': '2', 'contact:website': 'https://molplugee.hu', 'fee': 'yes', 'socket:type2_combo:output': '50 kW', 'fixme': 'verify import', 'contact:email': 'info@molplugee.hu', 'authentication:app': 'yes', 'socket:type2_combo': '1', 'socket:chademo': '1', 'authentication:none': 'yes'}",,0,
5537,124,29,,60,1046,Budapest,Fóti út,130,,POINT (47.57121 19.11105),Fóti út 130.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,43 kW,,nan,Efacec,QC45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-07 10:14:40.969916+00:00,,,47.571212,19.111053,29,MOL Plugee,charging_station,"{'operator': 'MOL Nyrt.', 'authentication:none': 'yes', 'contact:email': 'info@molplugee.hu', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'ref:HU:company': '01-10-041683', 'contact:website': 'https://molplugee.hu/', 'fee': 'yes', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'authentication:app': 'yes', 'parking:fee': 'no', 'brand': 'MOL', 'ref:vatin': 'HU10625790', 'motorcar': 'yes', 'amenity': 'charging_station'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,7972580462,OSM_object_type.node,5,0,2021-12-17 19:39:56.000000,"{'socket:type2_cable:output': '43 kW', 'addr:street': 'Fóti út', 'source:molplugee.hu:date': '2021-12-17', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'addr:housenumber': '130', 'model': 'QC45', 'ref:HU:company': '01-10-041683', 'socket:type2_cable': '1', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'amenity': 'charging_station', 'parking:fee': 'no', 'ref:vatin': 'HU10625790', 'addr:city': 'Budapest', 'name': 'MOL Plugee', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'socket:chademo:output': '50 kW', 'brand': 'MOL', 'addr:postcode': '1046', 'manufacturer': 'Efacec', 'capacity': '2', 'contact:website': 'https://molplugee.hu', 'fee': 'yes', 'socket:type2_combo:output': '50 kW', 'fixme': 'verify import', 'contact:email': 'info@molplugee.hu', 'authentication:app': 'yes', 'socket:type2_combo': '1', 'socket:chademo': '1', 'authentication:none': 'yes'}",,0,
5538,160,29,,91,1087,Budapest,Kerepesi út,5-7,,POINT (47.49939 19.08771),Kerepesi út 5-7.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,nan,Siemens,Triberium FC50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-07 10:14:40.969916+00:00,,,47.4994122,19.0876427,29,MOL Plugee,charging_station,"{'operator': 'MOL Nyrt.', 'authentication:none': 'yes', 'contact:email': 'info@molplugee.hu', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'ref:HU:company': '01-10-041683', 'contact:website': 'https://molplugee.hu/', 'fee': 'yes', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'authentication:app': 'yes', 'parking:fee': 'no', 'brand': 'MOL', 'ref:vatin': 'HU10625790', 'motorcar': 'yes', 'amenity': 'charging_station'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,5309980689,OSM_object_type.node,5,0,2021-12-17 19:39:56.000000,"{'socket:type2_cable:output': '22 kW', 'addr:street': 'Kerepesi út', 'source:molplugee.hu:date': '2021-12-17', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'addr:housenumber': '5-7', 'model': 'Triberium FC50', 'ref:HU:company': '01-10-041683', 'socket:type2_cable': '1', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'amenity': 'charging_station', 'parking:fee': 'no', 'ref:vatin': 'HU10625790', 'addr:city': 'Budapest', 'name': 'MOL Plugee', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'socket:chademo:output': '50 kW', 'brand': 'MOL', 'addr:postcode': '1087', 'manufacturer': 'Siemens', 'capacity': '2', 'contact:website': 'https://molplugee.hu', 'fee': 'yes', 'socket:type2_combo:output': '50 kW', 'contact:email': 'info@molplugee.hu', 'authentication:app': 'yes', 'socket:type2_combo': '1', 'socket:chademo': '1', 'authentication:none': 'yes'}",,0,
5539,162,29,,93,1089,Budapest,Golgota tér,,,POINT (47.486 19.09347),Golgota tér,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,nan,DBT,Compact 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-07 10:14:40.969916+00:00,,,47.486005,19.093478,29,MOL Plugee,charging_station,"{'operator': 'MOL Nyrt.', 'authentication:none': 'yes', 'contact:email': 'info@molplugee.hu', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'ref:HU:company': '01-10-041683', 'contact:website': 'https://molplugee.hu/', 'fee': 'yes', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'authentication:app': 'yes', 'parking:fee': 'no', 'brand': 'MOL', 'ref:vatin': 'HU10625790', 'motorcar': 'yes', 'amenity': 'charging_station'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,7972580461,OSM_object_type.node,5,0,2021-12-17 19:39:56.000000,"{'socket:type2_cable:output': '22 kW', 'addr:street': 'Golgota tér', 'source:molplugee.hu:date': '2021-12-17', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'model': 'Compact 50', 'ref:HU:company': '01-10-041683', 'socket:type2_cable': '1', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'contact:email': 'info@molplugee.hu', 'amenity': 'charging_station', 'parking:fee': 'no', 'ref:vatin': 'HU10625790', 'addr:city': 'Budapest', 'name': 'MOL Plugee', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'socket:chademo:output': '50 kW', 'brand': 'MOL', 'addr:postcode': '1089', 'manufacturer': 'DBT', 'capacity': '2', 'contact:website': 'https://molplugee.hu', 'fee': 'yes', 'socket:type2_combo:output': '50 kW', 'fixme': 'verify import', 'opening_hours': '24/7', 'authentication:app': 'yes', 'socket:type2_combo': '1', 'socket:chademo': '1', 'authentication:none': 'yes'}",,0.8188262,
5540,164,29,,102,1101,Budapest,Könyves Kálmán körút,23,,POINT (47.48581 19.1078),Könyves Kálmán krt. 23.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,nan,Efacec,QC45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-07 10:14:40.969916+00:00,,,47.485815,19.107807,29,MOL Plugee,charging_station,"{'operator': 'MOL Nyrt.', 'authentication:none': 'yes', 'contact:email': 'info@molplugee.hu', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'ref:HU:company': '01-10-041683', 'contact:website': 'https://molplugee.hu/', 'fee': 'yes', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'authentication:app': 'yes', 'parking:fee': 'no', 'brand': 'MOL', 'ref:vatin': 'HU10625790', 'motorcar': 'yes', 'amenity': 'charging_station'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,7972580460,OSM_object_type.node,5,0,2021-12-17 19:39:56.000000,"{'socket:type2_cable:output': '22 kW', 'addr:street': 'Könyves Kálmán körút', 'source:molplugee.hu:date': '2021-12-17', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'addr:housenumber': '23', 'model': 'QC45', 'ref:HU:company': '01-10-041683', 'socket:type2_cable': '1', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'amenity': 'charging_station', 'parking:fee': 'no', 'ref:vatin': 'HU10625790', 'addr:city': 'Budapest', 'name': 'MOL Plugee', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'socket:chademo:output': '50 kW', 'brand': 'MOL', 'addr:postcode': '1101', 'manufacturer': 'Efacec', 'capacity': '2', 'contact:website': 'https://molplugee.hu', 'fee': 'yes', 'socket:type2_combo:output': '50 kW', 'fixme': 'verify import', 'contact:email': 'info@molplugee.hu', 'authentication:app': 'yes', 'socket:type2_combo': '1', 'socket:chademo': '1', 'authentication:none': 'yes'}",,0,
5541,166,29,,112,1113,Budapest,Nagyszőlős utca,47,,POINT (47.47474 19.025),Nagyszőlős u. 47.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,75 kW,1.0,75 kW,1.0,22 kW,,nan,DBT,NG150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-07 10:14:40.969916+00:00,,,47.4747711,19.0248329,29,MOL Plugee,charging_station,"{'operator': 'MOL Nyrt.', 'authentication:none': 'yes', 'contact:email': 'info@molplugee.hu', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'ref:HU:company': '01-10-041683', 'contact:website': 'https://molplugee.hu/', 'fee': 'yes', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'authentication:app': 'yes', 'parking:fee': 'no', 'brand': 'MOL', 'ref:vatin': 'HU10625790', 'motorcar': 'yes', 'amenity': 'charging_station'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,7972580459,OSM_object_type.node,6,0,2021-12-17 19:39:56.000000,"{'socket:type2_cable:output': '22 kW', 'addr:street': 'Nagyszőlős utca', 'source:molplugee.hu:date': '2021-12-17', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'addr:housenumber': '47', 'model': 'NG150', 'ref:HU:company': '01-10-041683', 'socket:type2_cable': '1', 'contact:phone': '+36 1 998 9888', 'ref:vatin:hu': '10625790-4-44', 'opening_hours': '24/7', 'amenity': 'charging_station', 'parking:fee': 'no', 'ref:vatin': 'HU10625790', 'addr:city': 'Budapest', 'name': 'MOL Plugee', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'socket:chademo:output': '75 kW', 'brand': 'MOL', 'addr:postcode': '1113', 'manufacturer': 'DBT', 'capacity': '2', 'contact:website': 'https://molplugee.hu', 'fee': 'yes', 'socket:type2_combo:output': '75 kW', 'contact:email': 'info@molplugee.hu', 'authentication:app': 'yes', 'socket:type2_combo': '1', 'socket:chademo': '1', 'authentication:none': 'yes'}",,0,
