,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_ref,poi_phone,poi_email,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_hash,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,osm_id,node,osm_version,osm_changeset,osm_timestamp,osm_nodes
5177,5325,21,BAJA II.,2490,6500,Baja,Dózsa György út,13,,POINT (46.187143 18.953119),DÓZSA GYÖRGY ÚT 13,,,3679428096.0,,True,,,,,,,,,,,,,,,,2018-06-18 15:15:36.293398+00:00,,,46.187143,18.953119,21,Shell,fuel,"{'amenity': 'fuel', 'brand': 'Shell', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.shell.hu,hushellfu,244656801,False,3,0,1426408455000000000,"[2519518076, 2519518077, 2519518078, 2519518079, 2519518081, 2519518082, 2519518076]"
5178,5319,21,MOHÁCS II,3021,7700,Mohács,,,,POINT (45.997221 18.667547),57. SZÁMÚ FÕÚT,,,3669510037.0,,False,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,,2018-06-18 15:15:36.293398+00:00,,,45.997221,18.667547,21,Shell,fuel,"{'amenity': 'fuel', 'brand': 'Shell', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.shell.hu,hushellfu,440993296,False,1,0,1473188075000000000,"[4387573548, 4387573549, 4387573550, 4387573551, 4387573548]"
5179,5320,21,SZIGETVÁR,3175,7900,Szigetvár,József a. utca,,,POINT (46.048491 17.823713),JÓZSEF A. U.,,,3673510075.0,,True,,,,,,,,,,,,,,,,2018-06-18 15:15:36.293398+00:00,,,46.048491,17.823713,21,Shell,fuel,"{'amenity': 'fuel', 'brand': 'Shell', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.shell.hu,hushellfu,372584711,False,1,0,1443360061000000000,"[3761425643, 3761425644, 3761425645, 3761425646, 3761425647, 3761425648, 3761425649, 3761425650, 3761425651, 3761425652, 3761425643]"
5180,5321,21,PÉCS III.,2972,7632,Pécs,Siklósi út,66,,POINT (46.054082 18.230749),SIKLÓSI ÚT 66.,,,3672438437.0,,True,,,,,,,,,,,,,,,,2018-06-18 15:15:36.293398+00:00,,,46.054082,18.230749,21,Shell,fuel,"{'amenity': 'fuel', 'brand': 'Shell', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.shell.hu,hushellfu,386818927,False,1,0,1450630824000000000,"[3901691334, 3901691332, 3901691337, 3901691338, 3901691334]"
5181,5322,21,PÉCS V.,2962,7622,Pécs,Zsolnay V. utca,4,,POINT (46.075038 18.241582),ZSOLNAY V. U. 4,,,3672211980.0,,True,,,,,,,,,,,,,,,,2018-06-18 15:15:36.293398+00:00,,,46.075038,18.241582,21,Shell,fuel,"{'amenity': 'fuel', 'brand': 'Shell', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.shell.hu,hushellfu,1119815948,True,6,0,1504514039000000000,
5182,5323,21,PÉCS IV.,2970,7630,Pécs,Zsolnay V. utca,41-43,,POINT (46.079617 18.253785),ZSOLNAY V. U. 41-43,,,3672224600.0,,False,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,,2018-06-18 15:15:36.293398+00:00,,,46.079617,18.253785,21,Shell,fuel,"{'amenity': 'fuel', 'brand': 'Shell', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.shell.hu,hushellfu,1119863882,True,4,0,1448819774000000000,
5183,5324,21,PÉCS VI 574,2970,7630,Pécs,Budai vám,1,,POINT (46.084406 18.268648),BUDAI VÁM 1,,,3672711237.0,,False,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,,2018-06-18 15:15:36.293398+00:00,,,46.084406,18.268648000000002,21,Shell,fuel,"{'amenity': 'fuel', 'brand': 'Shell', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.shell.hu,hushellfu,2376254232,True,2,0,1426408459000000000,
5184,5326,21,KOMLÓ 545,2772,7300,Komló,Kossuth Lajos utca,54-56,,POINT (46.192473 18.25682),KOSSUTH L. U. 54-56,,,3672731003.0,,False,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,,2018-06-18 15:15:36.293398+00:00,,,46.192473,18.25682,21,Shell,fuel,"{'amenity': 'fuel', 'brand': 'Shell', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.shell.hu,hushellfu,235434820,False,6,0,1426408449000000000,"[2434958314, 1813643076, 1813643082, 2436844501, 2436844496, 1813643091, 2436844499, 1813643095, 1813643103, 1813643097, 1813643088, 2439263303, 1813643080, 1813643066, 1813643056, 1813643052, 2439263302, 1813643064, 2434958314]"
5185,5327,21,BAJA I,2490,6500,Baja,Dózsa György út,126-130,,POINT (46.194389 18.950869),DÓZSA GYÖRGY ÚT 126-130,,,3679522680.0,,True,,,,,,,,,,,,,,,,2018-06-18 15:15:36.293398+00:00,,,46.194389,18.950869,21,Shell,fuel,"{'amenity': 'fuel', 'brand': 'Shell', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.shell.hu,hushellfu,2042308667,True,4,0,1448398924000000000,
5186,5328,21,MAKÓ II 572,2600,6900,Makó,Aradi utca,103,,POINT (46.216227 20.502021),ARADI UTCA 103,,,3662510044.0,,False,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,,2018-06-18 15:15:36.293398+00:00,,,46.216227,20.502021,21,Shell,fuel,"{'amenity': 'fuel', 'brand': 'Shell', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.shell.hu,hushellfu,,,,,,
