,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_good,poi_bad,poi_hash,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
5328,243,19,,0,0,,Dózsa György utca,119,,POINT (46.94693 18.22968),"Enying, Dózsa Gy. út 119.",/toltoallomas/?id=123,,,,False,True,,True,True,False,True,True,False,True,True,123,+36 22 572 092,royappetrol@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:32:00.950153+00:00,,,46.94693,18.22968,19,Avia,fuel,"{'operator': 'AVIA Hungária Kft.', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/AVIAHungary', 'contact:youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', 'amenity': 'fuel', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Avia', 'payment:mastercard_contactless': 'yes', 'contact:email': 'avia@avia.hu', 'fuel:octane_95': 'yes', 'payment:cash': 'yes', 'fuel:diesel': 'yes'}",https://www.avia.hu,huaviafu,avia,,False,False,30000.0,800.0,110.0,,,,,2020-12-25 09:26:13.455427,
5329,234,19,,97,1097,Budapest,Vágóhíd utca,13,,POINT (47.47466 19.0843),"1097 Budapest, Vágóhíd utca 13.",/toltoallomas/?id=143,,,,False,True,,True,False,False,False,True,False,False,True,143,+36 30 933 0034,david.szenyan90@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:32:00.950153+00:00,,,47.47466,19.0843,19,Avia,fuel,"{'operator': 'AVIA Hungária Kft.', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/AVIAHungary', 'contact:youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', 'amenity': 'fuel', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Avia', 'payment:mastercard_contactless': 'yes', 'contact:email': 'avia@avia.hu', 'fuel:octane_95': 'yes', 'payment:cash': 'yes', 'fuel:diesel': 'yes'}",https://www.avia.hu,huaviafu,avia,,False,False,30000.0,800.0,110.0,,,,,2020-12-25 09:26:13.455427,
5330,232,19,,104,1106,Budapest,Kerepesi út,89,,POINT (47.5056 19.1604),"1106 Budapest, Kerepesi út 89.",/toltoallomas/?id=15,,,,False,True,,True,False,False,True,True,False,False,False,15,+36 20 979 1555,zsoniko@avia.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:32:00.950153+00:00,,,47.5056,19.1604,19,Avia,fuel,"{'operator': 'AVIA Hungária Kft.', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/AVIAHungary', 'contact:youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', 'amenity': 'fuel', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Avia', 'payment:mastercard_contactless': 'yes', 'contact:email': 'avia@avia.hu', 'fuel:octane_95': 'yes', 'payment:cash': 'yes', 'fuel:diesel': 'yes'}",https://www.avia.hu,huaviafu,avia,,False,False,30000.0,800.0,110.0,,,,,2020-12-25 09:26:13.455427,
5331,233,19,,104,1106,Budapest,Keresztúri út,108/A,,POINT (47.49065 19.17074),"1106 Budapest, Keresztúri u.108/A.",/toltoallomas/?id=132,,,,False,True,,True,False,False,False,True,False,False,False,132,+36 70 505 5589,martonlaszlo666@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:32:00.950153+00:00,,,47.49065,19.17074,19,Avia,fuel,"{'operator': 'AVIA Hungária Kft.', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/AVIAHungary', 'contact:youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', 'amenity': 'fuel', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Avia', 'payment:mastercard_contactless': 'yes', 'contact:email': 'avia@avia.hu', 'fuel:octane_95': 'yes', 'payment:cash': 'yes', 'fuel:diesel': 'yes'}",https://www.avia.hu,huaviafu,avia,,False,False,30000.0,800.0,110.0,,,,,2020-12-25 09:26:13.455427,
5332,231,19,,134,1144,Budapest,Gvadányi utca,67,,POINT (47.5146 19.1466),"1144 Budapest, Gvadányi út 67.",/toltoallomas/?id=12,,,,False,True,,True,True,False,True,True,False,True,False,12,+36 20 979 1110,zsoniko@avia.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:32:00.950153+00:00,,,47.5146,19.1466,19,Avia,fuel,"{'operator': 'AVIA Hungária Kft.', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/AVIAHungary', 'contact:youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', 'amenity': 'fuel', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Avia', 'payment:mastercard_contactless': 'yes', 'contact:email': 'avia@avia.hu', 'fuel:octane_95': 'yes', 'payment:cash': 'yes', 'fuel:diesel': 'yes'}",https://www.avia.hu,huaviafu,avia,,False,False,30000.0,800.0,110.0,,,,,2020-12-25 09:26:13.455427,
5333,230,19,,179,1214,Budapest,,,,POINT (47.41226 19.05613),1214 Budapest II.Rákóczi F.út 195-197.,/toltoallomas/?id=140,,,,False,True,,True,False,False,False,True,False,False,False,140,+36 20 283 0585,zsoniko@avia.hu ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,['not_in_water'],"['street_is_not_around', 'street_metaphone_is_not_around']",,2020-12-13 09:32:00.950153+00:00,,,47.41226,19.05613,19,Avia,fuel,"{'operator': 'AVIA Hungária Kft.', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/AVIAHungary', 'contact:youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', 'amenity': 'fuel', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Avia', 'payment:mastercard_contactless': 'yes', 'contact:email': 'avia@avia.hu', 'fuel:octane_95': 'yes', 'payment:cash': 'yes', 'fuel:diesel': 'yes'}",https://www.avia.hu,huaviafu,avia,,False,False,30000.0,800.0,110.0,,,,,2020-12-25 09:26:13.455427,
5334,297,19,,597,2000,Szentendre,Vasvári Pál utca,,2794/16,POINT (47.67836 19.06017),2000 Szentendre Vasvári Pál u. 2794/16 hrsz.,/toltoallomas/?id=90,,,,False,True,,True,False,False,False,False,False,True,False,90,+36 26 302 097,arpaszsolt69@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:32:00.950153+00:00,,,47.67836,19.06017,19,Avia,fuel,"{'operator': 'AVIA Hungária Kft.', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/AVIAHungary', 'contact:youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', 'amenity': 'fuel', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Avia', 'payment:mastercard_contactless': 'yes', 'contact:email': 'avia@avia.hu', 'fuel:octane_95': 'yes', 'payment:cash': 'yes', 'fuel:diesel': 'yes'}",https://www.avia.hu,huaviafu,avia,,False,False,30000.0,800.0,110.0,,,,,2020-12-25 09:26:13.455427,
5335,244,19,,620,2030,Érd,Szent László tér,1,,POINT (47.38187 18.90533),"2030 Érd, Szent László tér 1.",/toltoallomas/?id=67,,,,False,True,,True,True,False,True,False,False,False,False,67,+36 20 396 7870,zamboesgozon@avia.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:32:00.950153+00:00,,,47.38187,18.90533,19,Avia,fuel,"{'operator': 'AVIA Hungária Kft.', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/AVIAHungary', 'contact:youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', 'amenity': 'fuel', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Avia', 'payment:mastercard_contactless': 'yes', 'contact:email': 'avia@avia.hu', 'fuel:octane_95': 'yes', 'payment:cash': 'yes', 'fuel:diesel': 'yes'}",https://www.avia.hu,huaviafu,avia,,False,False,30000.0,800.0,110.0,,,,,2020-12-25 09:26:13.455427,
5336,278,19,,700,2142,Nagytarcsa,,,0135/50,POINT (47.5212 19.26353),2142 Nagytarcsa 0135/50 hrsz.,/toltoallomas/?id=68,,,,False,True,,True,False,False,True,False,True,True,False,68,+36 20 508 9009,aviamotel.nagytarcsa@freemail.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,['not_in_water'],"['street_is_not_around', 'street_metaphone_is_not_around']",,2020-12-13 09:32:00.950153+00:00,,,47.5212,19.26353,19,Avia,fuel,"{'operator': 'AVIA Hungária Kft.', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/AVIAHungary', 'contact:youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', 'amenity': 'fuel', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Avia', 'payment:mastercard_contactless': 'yes', 'contact:email': 'avia@avia.hu', 'fuel:octane_95': 'yes', 'payment:cash': 'yes', 'fuel:diesel': 'yes'}",https://www.avia.hu,huaviafu,avia,,False,False,30000.0,800.0,110.0,,,,,2020-12-25 09:26:13.455427,
5337,281,19,,711,2162,Őrbottyán,Fő út,,9733/2,POINT (47.6907 19.2559),"2162 Őrbottyán, Fő út 9733/2 hrsz.",/toltoallomas/?id=113,,,,False,True,,True,True,False,True,True,False,True,False,113,+36 20 979 2560,zsoniko@avia.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:32:00.950153+00:00,,,47.6907,19.2559,19,Avia,fuel,"{'operator': 'AVIA Hungária Kft.', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'contact:facebook': 'https://www.facebook.com/AVIAHungary', 'contact:youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', 'amenity': 'fuel', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Avia', 'payment:mastercard_contactless': 'yes', 'contact:email': 'avia@avia.hu', 'fuel:octane_95': 'yes', 'payment:cash': 'yes', 'fuel:diesel': 'yes'}",https://www.avia.hu,huaviafu,avia,,False,False,30000.0,800.0,110.0,,,,,2020-12-25 09:26:13.455427,
