,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance,poi_new
4177,2722,13,CBA Attila Csemege,32,1012,Budapest,Attila út,109,,POINT (47.50175 19.02784),Attila u. 109.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,07:00:00,07:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,20:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:00-21:00; Sa 07:00-21:00; Su 07:00-20:00; PH off,2022-03-07 10:14:52.509071+00:00,,,47.501738,19.0277889,13,CBA,shop,"{'payment:mastercard_electronic': 'yes', 'payment:mastercard': 'yes', 'brand': 'CBA', 'shop': 'convenience', 'payment:cash': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,2000.0,200.0,5.0,1948976083,OSM_object_type.node,4,0,2021-10-10 12:40:44.000000,"{'brand:wikidata': 'Q779845', 'addr:street': 'Attila út', 'opening_hours': 'Mo-Fr 06:00-21:00; Sa 07:00-21:00; Su 07:00-20:00', 'brand': 'CBA', 'shop': 'convenience', 'branch': 'Attila út', 'brand:wikipedia': 'en:CBA (food retail)', 'name': 'CBA', 'wheelchair': 'no'}",,4.06392513,
4178,3508,13,Ybl Bistro,33,1013,Budapest,Ybl Miklós tér,2-6,,POINT (47.49349 19.04313),Ybl Miklós tér 2-6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,,,,,,,,,,,,,,,,,False,Mo-Su 10:00-22:00; PH off,2022-03-07 10:14:52.509071+00:00,,,47.49349,19.04313,13,CBA,shop,"{'payment:mastercard_electronic': 'yes', 'payment:mastercard': 'yes', 'brand': 'CBA', 'shop': 'convenience', 'payment:cash': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,2000.0,200.0,5.0,,,,,2022-03-07 11:06:58.941541,,,,True
4179,3382,13,Várbistro,34,1014,Budapest,Tárnok utca,22-24,,POINT (47.49973 19.03497),Dísz tér 8.,,,,,,,,,,,,,,,,,+36 30 237 0039,varbistro@cba-budavar.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-03-07 10:14:52.509071+00:00,,,47.5009557,19.0338399,13,CBA,shop,"{'payment:mastercard_electronic': 'yes', 'payment:mastercard': 'yes', 'brand': 'CBA', 'shop': 'convenience', 'payment:cash': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,2000.0,200.0,5.0,736659973,OSM_object_type.node,9,0,2021-09-09 19:34:23.000000,"{'brand:wikidata': 'Q779845', 'addr:street': 'Tárnok utca', 'brand': 'CBA', 'addr:postcode': '1014', 'addr:housenumber': '22-24', 'brand:wikipedia': 'en:CBA (food retail)', 'wheelchair': 'no', 'wheelchair:description': '3 lépcső', 'opening_hours': 'Mo-Sa 07:00-20:00; Su 09:00-18:00', 'addr:city': 'Budapest', 'name': 'Príma', 'shop': 'supermarket'}",,160.56975512,
4180,2463,13,Budavár Élelmiszer üzlet,34,1014,Budapest,Tárnok utca,22-24,,POINT (47.50098 19.03389),Tárnok u. 22-24,,,,,,,,,,,,,,,,,+36 1 225 3284,budavar@cba-budavar.hu,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,09:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,18:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 07:00-20:00; Su 09:00-18:00; PH off,2022-03-07 10:14:52.509071+00:00,,,47.5009557,19.0338399,13,CBA,shop,"{'payment:mastercard_electronic': 'yes', 'payment:mastercard': 'yes', 'brand': 'CBA', 'shop': 'convenience', 'payment:cash': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,2000.0,200.0,5.0,736659973,OSM_object_type.node,9,0,2021-09-09 19:34:23.000000,"{'brand:wikidata': 'Q779845', 'addr:street': 'Tárnok utca', 'brand': 'CBA', 'addr:postcode': '1014', 'addr:housenumber': '22-24', 'brand:wikipedia': 'en:CBA (food retail)', 'wheelchair': 'no', 'opening_hours': 'Mo-Sa 07:00-20:00; Su 09:00-18:00', 'shop': 'supermarket', 'addr:city': 'Budapest', 'name': 'Príma', 'wheelchair:description': '3 lépcső'}",,0,
4181,2504,13,Batthyány Csemege,35,1015,Budapest,Batthyány utca,28,,POINT (47.50701 19.03134),Batthyány utca 28,,,,,,,,,,,,,,,,,+36 30 278 7759,batthyany@mcsemege.hu,,,,,,,,,,,,,,,,,,,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,07:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su 08:00-17:00; PH off,2022-03-07 10:14:52.509071+00:00,,,47.5070666,19.0314484,13,CBA,shop,"{'payment:mastercard_electronic': 'yes', 'payment:mastercard': 'yes', 'brand': 'CBA', 'shop': 'convenience', 'payment:cash': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,2000.0,200.0,5.0,2055979445,OSM_object_type.node,2,0,2015-12-01 10:31:22.000000,"{'wheelchair': 'no', 'shop': 'supermarket', 'name': 'CBA'}",,10.2910056,
4182,2515,13,Naphegy Csemege,36,1016,Budapest,Naphegy tér,3,,POINT (47.49268 19.03244),Naphegy tér 3,,,,,,,,,,,,,,,,,+36 30 864 3095,naphegy@mcsemege.hu,,,,,,,,,,,,,,,,,,,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,07:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su 08:00-17:00; PH off,2022-03-07 10:14:52.509071+00:00,,,47.49261405,19.03217966856145,13,CBA,shop,"{'payment:mastercard_electronic': 'yes', 'payment:mastercard': 'yes', 'brand': 'CBA', 'shop': 'convenience', 'payment:cash': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,2000.0,200.0,5.0,250165688,OSM_object_type.way,11,0,2021-09-26 14:30:00.000000,"{'addr:street': 'Naphegy tér', 'addr:postcode': '1016', 'addr:housenumber': '3', 'contact:website': 'http://www.cbaprima.hu', 'building': 'retail', 'source': 'Bing', 'check_date:opening_hours': '2021-09-26', 'wheelchair:description': 'Szűk nem lehet közlekedni kerekesszekkel', 'building:levels': '1', 'opening_hours': 'Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su,PH 08:00-17:00', 'wheelchair': 'no', 'website': 'http://www.cbaprima.hu', 'addr:city': 'Budapest', 'name': 'CBA Príma', 'shop': 'supermarket'}","[2566589094, 2566589059, 2566589053, 2566589082, 2566589094]",0,
4183,2483,13,Budenz Csemege,37,1021,Budapest,Budenz út,26,,POINT (47.5203 18.98739),Budenz út 26.,,,,,,,,,,,,,,,,,+36 30 746 5696,budenz@mcsemege.hu,,,,,,,,,,,,,,,,,,,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,07:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su 08:00-17:00; PH off,2022-03-07 10:14:52.509071+00:00,,,47.52025655,18.987398418958662,13,CBA,shop,"{'payment:mastercard_electronic': 'yes', 'payment:mastercard': 'yes', 'brand': 'CBA', 'shop': 'convenience', 'payment:cash': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,2000.0,200.0,5.0,240324324,OSM_object_type.way,6,0,2021-04-15 14:13:50.000000,"{'operator': 'Príma', 'addr:street': 'Budenz út', 'addr:postcode': '1021', 'addr:housenumber': '26', 'email': 'budenz@cbaprimacsemege.hu', 'building': 'retail', 'wheelchair': 'yes', 'opening_hours': 'Mo-Fr 06:30-21:00; Sa 07:00-17:00; Su 08:00-17:00', 'phone': '+36 30 746 5696', 'addr:city': 'Budapest', 'name': 'Budenz Csemege', 'shop': 'supermarket'}","[2480656987, 2480656988, 2480656989, 2480656990, 2480656991, 2480656992, 2480656987]",0.0,
4184,2623,13,Cba Hüvösvölgy,37,1021,Budapest,Hüvösvölgyi utca,135,,POINT (47.53089 18.97851),Hüvösvölgyi u.135.,,,,,,,,,,,,,,,,,+36 013927087,huvosvolgyi@cba-vorosvar.hu,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,,18:00:00,18:00:00,18:00:00,18:00:00,18:00:00,14:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 07:00-18:00; Sa 07:00-14:00; PH off,2022-03-07 10:14:52.509071+00:00,,,47.5309267,18.9786002,13,CBA,shop,"{'payment:mastercard_electronic': 'yes', 'payment:mastercard': 'yes', 'brand': 'CBA', 'shop': 'convenience', 'payment:cash': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,2000.0,200.0,5.0,354718675,OSM_object_type.node,5,0,2016-09-06 17:08:41.000000,"{'opening_hours': 'Mo-Fr 07:00-20:00; Sa 07:00-16:00', 'wheelchair': 'no', 'shop': 'supermarket', 'name': 'CBA élelmiszer'}",,7.90657742,
4185,2645,13,Cba Margit krt.,40,1027,Budapest,Margit körút,52,,POINT (47.51066 19.03205),Margit krt.50-52.,,,,,,,,,,,,,,,,,+36 012010882,margit@cba-vorosvar.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-03-07 10:14:52.509071+00:00,,,47.5106625,19.0317565,13,CBA,shop,"{'payment:mastercard_electronic': 'yes', 'payment:mastercard': 'yes', 'brand': 'CBA', 'shop': 'convenience', 'payment:cash': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,2000.0,200.0,5.0,2401271395,OSM_object_type.node,6,0,2022-02-03 20:22:32.000000,"{'brand:wikidata': 'Q779845', 'addr:street': 'Margit körút', 'brand': 'CBA', 'addr:postcode': '1027', 'addr:housenumber': '52', 'brand:wikipedia': 'en:CBA (food retail)', 'wheelchair': 'limited', 'opening_hours': 'Mo-Fr 06:30-20:00; Sa 06:30-16:00', 'phone': '+36 1 201 0882', 'addr:city': 'Budapest', 'name': 'CBA', 'shop': 'convenience'}",,22.04567222,
4186,3422,13,CBA Élelmiszer,40,1024,Budapest,Szilágyi Erzsébet fasor,13,,POINT (47.50886 19.01857),Szilágyi Erzsébet fasor 13-15,,,,,,,,,,,,,,,,,+36 1 212 2823;+36 3306823315,postmaster@szilagyierzsebetfasor.t-online.hu,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,08:00:00,,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,20:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 07:00-21:00; Sa 08:00-20:00; PH off,2022-03-07 10:14:52.509071+00:00,,,47.5088931,19.0182708,13,CBA,shop,"{'payment:mastercard_electronic': 'yes', 'payment:mastercard': 'yes', 'brand': 'CBA', 'shop': 'convenience', 'payment:cash': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,2000.0,200.0,5.0,2759547023,OSM_object_type.node,5,0,2019-05-29 15:19:17.000000,"{'brand:wikidata': 'Q779845', 'operator': 'CBA', 'addr:street': 'Szilágyi Erzsébet fasor', 'brand': 'CBA', 'addr:postcode': '1024', 'addr:housenumber': '13', 'brand:wikipedia': 'en:CBA (food retail)', 'wheelchair': 'no', 'opening_hours': 'Mo-Fr 07:00-21:00; Sa 09:15-20:00; Su 08:00-19:00; PH off', 'addr:city': 'Budapest', 'name': 'CBA', 'shop': 'supermarket'}",,22.77219717,
