,pa_id,poi_common_id,poi_name,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_additional_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_lat,poi_lon,poi_created,poi_updated,poi_deleted,pc_id,poi_common_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,do_not_export_addr_tags,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,additional_ref_name,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
12057,5789,51,,DESpar Budapest,89,1095,Budapest,Kvassay Jenő út,3,,POINT (47.463477 19.072883),Kvassay Jenő út 3.,/uzletek/despar-budapest-1095-kvassay-jen-ut-3-,,,,,,,,,,,,,,,6800320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.463477,19.072883,2023-01-03 08:36:22.705055+00:00,,,51,DeSpar,shop,"{'shop': 'convenience', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,huspardcon,(spar|despar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-03 08:41:32.404992,
12058,5769,51,,"DESpar Bp., M5 Ecseri",91,1097,Budapest,Ecseri út,9,,POINT (47.468379 19.104295),ECSERI ÚT 9,/uzletek/despar-budapest-1097-ecseri-ut-9,,,,,,,,,,,,,,,6800380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.468379,19.104295,2023-01-03 08:36:22.705055+00:00,,,51,DeSpar,shop,"{'shop': 'convenience', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,huspardcon,(spar|despar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-03 08:41:32.404992,
12059,5784,51,,DESpar Budapest,95,1103,Budapest,Gyömrői út,56-62,,POINT (47.469668 19.145673),Gyömrői út 56-62.,/uzletek/despar-budapest-1103-gyoemri-ut-56-62-,,,,,,,,,,,,,,,6800310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.469668,19.145673,2023-01-03 08:36:22.705055+00:00,,,51,DeSpar,shop,"{'shop': 'convenience', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,huspardcon,(spar|despar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-03 08:41:32.404992,
12060,5777,51,,DESpar Budapest,105,1115,Budapest,Bartók Béla út,105,,POINT (47.473167 19.03269),Bartók Béla út 105.,/uzletek/despar-budapest-1115-bartok-bela-ut-105-,,,,,,,,,,,,,,,6800230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.473167,19.03269,2023-01-03 08:36:22.705055+00:00,,,51,DeSpar,shop,"{'shop': 'convenience', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,huspardcon,(spar|despar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-03 08:41:32.404992,
12061,5773,51,,DESpar Budapest,107,1117,Budapest,,,,POINT (47.441259 19.045871),HUNYADI J 43587/16,/uzletek/despar-budapest-1117-hunyadi-j-43587-16,,,,,,,,,,,,,,,6800220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.441259,19.045871,2023-01-03 08:36:22.705055+00:00,,,51,DeSpar,shop,"{'shop': 'convenience', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,huspardcon,(spar|despar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-03 08:41:32.404992,
12062,5781,51,,DESpar Budapest,133,1149,Budapest,Mogyoródi út,22-32,,POINT (47.505752 19.112479),MOGYORÓDI ÚT 22-32,/uzletek/despar-budapest-1149-mogyorodi-ut-22-32,,,,,,,,,,,,,,,6800240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.505752,19.112479,2023-01-03 08:36:22.705055+00:00,,,51,DeSpar,shop,"{'shop': 'convenience', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,huspardcon,(spar|despar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-03 08:41:32.404992,
12063,5765,51,,"DESpar Bp., Bökényföldiút",146,1165,Budapest,Bökényföldi út,108,,POINT (47.501596 19.216637),BÖKÉNYFÖLDI ÚT 108,/uzletek/despar-budapest-1165-bokenyfoldi-ut-108,,,,,,,,,,,,,,,6801530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.501596,19.216637,2023-01-03 08:36:22.705055+00:00,,,51,DeSpar,shop,"{'shop': 'convenience', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,huspardcon,(spar|despar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-03 08:41:32.404992,
12064,5793,51,,DESpar Budapest,149,1173,Budapest,Esztena utca,1,,POINT (47.473494 19.273494),Esztena utca 1.,/uzletek/despar-budapest-1173-esztena-utca-1-,,,,,,,,,,,,,,,6800460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.473494,19.273494,2023-01-03 08:36:22.705055+00:00,,,51,DeSpar,shop,"{'shop': 'convenience', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,huspardcon,(spar|despar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-03 08:41:32.404992,
12065,5963,51,,DESpar Érd,610,2030,Érd,6. számú főközlekedési út,,,POINT (47.379155 18.939109),"Budafoki út, 6-os sz. főút",/uzletek/despar-erd-2030-budafoki-ut-6-os-sz-fut,,,,,,,,,,,,,,,6800420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.379155,18.939109,2023-01-03 08:36:22.705055+00:00,,,51,DeSpar,shop,"{'shop': 'convenience', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,huspardcon,(spar|despar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-03 08:41:32.404992,
12066,5811,51,,DESpar Diósd,628,2049,Diósd,Balatoni út,11,,POINT (47.403986 18.944898),Balatoni út 11.,/uzletek/despar-diosd-2049-balatoni-ut-11-,,,,,,,,,,,,,,,6800500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.403986,18.944898,2023-01-03 08:36:22.705055+00:00,,,51,DeSpar,shop,"{'shop': 'convenience', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,huspardcon,(spar|despar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-03 08:41:32.404992,
