,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
6265,338,28,,27,1016,Budapest,Mészáros utca,19,,POINT (47.49454 19.0284),Mészáros utca 19.,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,,ABB,Terra 54 CJG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18 20:27:41.196194+00:00,,,47.49454,19.0284,28,MOL Plugee,charging_station,"{'authentication:app': 'yes', 'amenity': 'charging_station', 'authentication:none': 'yes', 'ref:vatin': 'HU10625790', 'contact:email': 'info@molplugee.hu', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'brand': 'MOL', 'fee': 'yes', 'ref:vatin:hu': '10625790-4-44', 'contact:website': 'https://molplugee.hu/', 'ref:HU:company': '01-10-041683', 'opening_hours': '24/7', 'contact:phone': '+36 1 998 9888'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,True,50.0,30.0,10.0,,,,,2022-09-18 21:10:21.143318,
6266,388,28,,28,1021,Budapest,Hűvösvölgyi út,136,,POINT (47.53708 18.96758),Hűvösvölgyi út 136.,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,43 kW,,,Efacec,QC45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18 20:27:41.196194+00:00,,,47.53708,18.96758,28,MOL Plugee,charging_station,"{'authentication:app': 'yes', 'amenity': 'charging_station', 'authentication:none': 'yes', 'ref:vatin': 'HU10625790', 'contact:email': 'info@molplugee.hu', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'brand': 'MOL', 'fee': 'yes', 'ref:vatin:hu': '10625790-4-44', 'contact:website': 'https://molplugee.hu/', 'ref:HU:company': '01-10-041683', 'opening_hours': '24/7', 'contact:phone': '+36 1 998 9888'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,True,50.0,30.0,10.0,,,,,2022-09-18 21:10:21.143318,
6267,340,28,,42,1036,Budapest,Árpád fejedelem útja,103,,POINT (47.53607 19.04647),Árpád fejedelem útja 103.,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,,Circontrol,Raption 50 Trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18 20:27:41.196194+00:00,,,47.53607,19.04647,28,MOL Plugee,charging_station,"{'authentication:app': 'yes', 'amenity': 'charging_station', 'authentication:none': 'yes', 'ref:vatin': 'HU10625790', 'contact:email': 'info@molplugee.hu', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'brand': 'MOL', 'fee': 'yes', 'ref:vatin:hu': '10625790-4-44', 'contact:website': 'https://molplugee.hu/', 'ref:HU:company': '01-10-041683', 'opening_hours': '24/7', 'contact:phone': '+36 1 998 9888'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,True,50.0,30.0,10.0,,,,,2022-09-18 21:10:21.143318,
6268,325,28,,45,1039,Budapest,Szentendrei út,255,,POINT (47.58124 19.04893),Szentendrei út 255.,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,43 kW,,,Efacec,QC45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18 20:27:41.196194+00:00,,,47.58124,19.04893,28,MOL Plugee,charging_station,"{'authentication:app': 'yes', 'amenity': 'charging_station', 'authentication:none': 'yes', 'ref:vatin': 'HU10625790', 'contact:email': 'info@molplugee.hu', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'brand': 'MOL', 'fee': 'yes', 'ref:vatin:hu': '10625790-4-44', 'contact:website': 'https://molplugee.hu/', 'ref:HU:company': '01-10-041683', 'opening_hours': '24/7', 'contact:phone': '+36 1 998 9888'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,True,50.0,30.0,10.0,,,,,2022-09-18 21:10:21.143318,
6269,342,28,,49,1044,Budapest,Váci út,84-90,,POINT (47.57494 19.08074),Váci út 84-90.,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,,ABB,Terra 53 CJG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18 20:27:41.196194+00:00,,,47.57494,19.08074,28,MOL Plugee,charging_station,"{'authentication:app': 'yes', 'amenity': 'charging_station', 'authentication:none': 'yes', 'ref:vatin': 'HU10625790', 'contact:email': 'info@molplugee.hu', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'brand': 'MOL', 'fee': 'yes', 'ref:vatin:hu': '10625790-4-44', 'contact:website': 'https://molplugee.hu/', 'ref:HU:company': '01-10-041683', 'opening_hours': '24/7', 'contact:phone': '+36 1 998 9888'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,True,50.0,30.0,10.0,,,,,2022-09-18 21:10:21.143318,
6270,301,28,,51,1046,Budapest,Fóti út,130,,POINT (47.57121 19.11105),Fóti út 130.,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,43 kW,,,Efacec,QC45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18 20:27:41.196194+00:00,,,47.57121,19.11105,28,MOL Plugee,charging_station,"{'authentication:app': 'yes', 'amenity': 'charging_station', 'authentication:none': 'yes', 'ref:vatin': 'HU10625790', 'contact:email': 'info@molplugee.hu', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'brand': 'MOL', 'fee': 'yes', 'ref:vatin:hu': '10625790-4-44', 'contact:website': 'https://molplugee.hu/', 'ref:HU:company': '01-10-041683', 'opening_hours': '24/7', 'contact:phone': '+36 1 998 9888'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,True,50.0,30.0,10.0,,,,,2022-09-18 21:10:21.143318,
6271,344,28,,82,1087,Budapest,Kerepesi út,5-7,,POINT (47.49939 19.08771),Kerepesi út 5-7.,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,,Siemens,Triberium FC50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18 20:27:41.196194+00:00,,,47.49939,19.08771,28,MOL Plugee,charging_station,"{'authentication:app': 'yes', 'amenity': 'charging_station', 'authentication:none': 'yes', 'ref:vatin': 'HU10625790', 'contact:email': 'info@molplugee.hu', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'brand': 'MOL', 'fee': 'yes', 'ref:vatin:hu': '10625790-4-44', 'contact:website': 'https://molplugee.hu/', 'ref:HU:company': '01-10-041683', 'opening_hours': '24/7', 'contact:phone': '+36 1 998 9888'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,True,50.0,30.0,10.0,,,,,2022-09-18 21:10:21.143318,
6272,346,28,,84,1089,Budapest,Golgota tér,,,POINT (47.486 19.09347),Golgota tér,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,,DBT,Compact 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18 20:27:41.196194+00:00,,,47.486,19.09347,28,MOL Plugee,charging_station,"{'authentication:app': 'yes', 'amenity': 'charging_station', 'authentication:none': 'yes', 'ref:vatin': 'HU10625790', 'contact:email': 'info@molplugee.hu', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'brand': 'MOL', 'fee': 'yes', 'ref:vatin:hu': '10625790-4-44', 'contact:website': 'https://molplugee.hu/', 'ref:HU:company': '01-10-041683', 'opening_hours': '24/7', 'contact:phone': '+36 1 998 9888'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,True,50.0,30.0,10.0,,,,,2022-09-18 21:10:21.143318,
6273,348,28,,93,1101,Budapest,Könyves Kálmán körút,23,,POINT (47.48581 19.1078),Könyves Kálmán krt. 23.,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,,Efacec,QC45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18 20:27:41.196194+00:00,,,47.48581,19.1078,28,MOL Plugee,charging_station,"{'authentication:app': 'yes', 'amenity': 'charging_station', 'authentication:none': 'yes', 'ref:vatin': 'HU10625790', 'contact:email': 'info@molplugee.hu', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'brand': 'MOL', 'fee': 'yes', 'ref:vatin:hu': '10625790-4-44', 'contact:website': 'https://molplugee.hu/', 'ref:HU:company': '01-10-041683', 'opening_hours': '24/7', 'contact:phone': '+36 1 998 9888'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,True,50.0,30.0,10.0,,,,,2022-09-18 21:10:21.143318,
6274,350,28,,103,1113,Budapest,Nagyszőlős utca,47,,POINT (47.47474 19.025),Nagyszőlős u. 47.,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,75 kW,1.0,75 kW,1.0,22 kW,,,DBT,NG150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18 20:27:41.196194+00:00,,,47.47474,19.025,28,MOL Plugee,charging_station,"{'authentication:app': 'yes', 'amenity': 'charging_station', 'authentication:none': 'yes', 'ref:vatin': 'HU10625790', 'contact:email': 'info@molplugee.hu', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'brand': 'MOL', 'fee': 'yes', 'ref:vatin:hu': '10625790-4-44', 'contact:website': 'https://molplugee.hu/', 'ref:HU:company': '01-10-041683', 'opening_hours': '24/7', 'contact:phone': '+36 1 998 9888'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,True,50.0,30.0,10.0,,,,,2022-09-18 21:10:21.143318,
