,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
5397,151,30,,36,1016,Budapest,Mészáros utca,19,,POINT (47.49454 19.0284),Mészáros utca 19.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,nan,ABB,Terra 54 CJG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-26 09:37:47.161229+00:00,,,47.49454,19.0284,30,MOL Plugee,charging_station,"{'contact:phone': '+36 1 998 9888', 'authentication:none': 'yes', 'amenity': 'charging_station', 'opening_hours': '24/7', 'contact:website': 'https://molplugee.hu/', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'authentication:app': 'yes', 'ref:vatin': 'HU10625790', 'brand': 'MOL', 'ref:vatin:hu': '10625790-4-44', 'motorcar': 'yes', 'fee': 'yes', 'ref:HU:company': '01-10-041683', 'operator': 'MOL Nyrt.', 'contact:email': 'info@molplugee.hu'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,,,,,2022-04-26 09:42:01.589217,
5398,242,30,,37,1021,Budapest,Hűvösvölgyi út,136,,POINT (47.53708 18.96758),Hűvösvölgyi út 136.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,43 kW,,nan,Efacec,QC45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-26 09:37:47.161229+00:00,,,47.53708,18.96758,30,MOL Plugee,charging_station,"{'contact:phone': '+36 1 998 9888', 'authentication:none': 'yes', 'amenity': 'charging_station', 'opening_hours': '24/7', 'contact:website': 'https://molplugee.hu/', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'authentication:app': 'yes', 'ref:vatin': 'HU10625790', 'brand': 'MOL', 'ref:vatin:hu': '10625790-4-44', 'motorcar': 'yes', 'fee': 'yes', 'ref:HU:company': '01-10-041683', 'operator': 'MOL Nyrt.', 'contact:email': 'info@molplugee.hu'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,,,,,2022-04-26 09:42:01.589217,
5399,154,30,,51,1036,Budapest,Árpád fejedelem útja,103,,POINT (47.53607 19.04647),Árpád fejedelem útja 103.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,nan,Circontrol,Raption 50 Trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-26 09:37:47.161229+00:00,,,47.53607,19.04647,30,MOL Plugee,charging_station,"{'contact:phone': '+36 1 998 9888', 'authentication:none': 'yes', 'amenity': 'charging_station', 'opening_hours': '24/7', 'contact:website': 'https://molplugee.hu/', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'authentication:app': 'yes', 'ref:vatin': 'HU10625790', 'brand': 'MOL', 'ref:vatin:hu': '10625790-4-44', 'motorcar': 'yes', 'fee': 'yes', 'ref:HU:company': '01-10-041683', 'operator': 'MOL Nyrt.', 'contact:email': 'info@molplugee.hu'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,,,,,2022-04-26 09:42:01.589217,
5400,135,30,,54,1039,Budapest,Szentendrei út,255,,POINT (47.58124 19.04893),Szentendrei út 255.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,43 kW,,nan,Efacec,QC45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-26 09:37:47.161229+00:00,,,47.58124,19.04893,30,MOL Plugee,charging_station,"{'contact:phone': '+36 1 998 9888', 'authentication:none': 'yes', 'amenity': 'charging_station', 'opening_hours': '24/7', 'contact:website': 'https://molplugee.hu/', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'authentication:app': 'yes', 'ref:vatin': 'HU10625790', 'brand': 'MOL', 'ref:vatin:hu': '10625790-4-44', 'motorcar': 'yes', 'fee': 'yes', 'ref:HU:company': '01-10-041683', 'operator': 'MOL Nyrt.', 'contact:email': 'info@molplugee.hu'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,,,,,2022-04-26 09:42:01.589217,
5401,157,30,,58,1044,Budapest,Váci út,84-90,,POINT (47.57494 19.08074),Váci út 84-90.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,nan,ABB,Terra 53 CJG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-26 09:37:47.161229+00:00,,,47.57494,19.08074,30,MOL Plugee,charging_station,"{'contact:phone': '+36 1 998 9888', 'authentication:none': 'yes', 'amenity': 'charging_station', 'opening_hours': '24/7', 'contact:website': 'https://molplugee.hu/', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'authentication:app': 'yes', 'ref:vatin': 'HU10625790', 'brand': 'MOL', 'ref:vatin:hu': '10625790-4-44', 'motorcar': 'yes', 'fee': 'yes', 'ref:HU:company': '01-10-041683', 'operator': 'MOL Nyrt.', 'contact:email': 'info@molplugee.hu'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,,,,,2022-04-26 09:42:01.589217,
5402,108,30,,60,1046,Budapest,Fóti út,130,,POINT (47.57121 19.11105),Fóti út 130.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,43 kW,,nan,Efacec,QC45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-26 09:37:47.161229+00:00,,,47.57121,19.11105,30,MOL Plugee,charging_station,"{'contact:phone': '+36 1 998 9888', 'authentication:none': 'yes', 'amenity': 'charging_station', 'opening_hours': '24/7', 'contact:website': 'https://molplugee.hu/', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'authentication:app': 'yes', 'ref:vatin': 'HU10625790', 'brand': 'MOL', 'ref:vatin:hu': '10625790-4-44', 'motorcar': 'yes', 'fee': 'yes', 'ref:HU:company': '01-10-041683', 'operator': 'MOL Nyrt.', 'contact:email': 'info@molplugee.hu'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,,,,,2022-04-26 09:42:01.589217,
5403,162,30,,91,1087,Budapest,Kerepesi út,5-7,,POINT (47.49939 19.08771),Kerepesi út 5-7.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,nan,Siemens,Triberium FC50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-26 09:37:47.161229+00:00,,,47.49939,19.08771,30,MOL Plugee,charging_station,"{'contact:phone': '+36 1 998 9888', 'authentication:none': 'yes', 'amenity': 'charging_station', 'opening_hours': '24/7', 'contact:website': 'https://molplugee.hu/', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'authentication:app': 'yes', 'ref:vatin': 'HU10625790', 'brand': 'MOL', 'ref:vatin:hu': '10625790-4-44', 'motorcar': 'yes', 'fee': 'yes', 'ref:HU:company': '01-10-041683', 'operator': 'MOL Nyrt.', 'contact:email': 'info@molplugee.hu'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,,,,,2022-04-26 09:42:01.589217,
5404,165,30,,93,1089,Budapest,Golgota tér,,,POINT (47.486 19.09347),Golgota tér,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,nan,DBT,Compact 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-26 09:37:47.161229+00:00,,,47.486,19.09347,30,MOL Plugee,charging_station,"{'contact:phone': '+36 1 998 9888', 'authentication:none': 'yes', 'amenity': 'charging_station', 'opening_hours': '24/7', 'contact:website': 'https://molplugee.hu/', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'authentication:app': 'yes', 'ref:vatin': 'HU10625790', 'brand': 'MOL', 'ref:vatin:hu': '10625790-4-44', 'motorcar': 'yes', 'fee': 'yes', 'ref:HU:company': '01-10-041683', 'operator': 'MOL Nyrt.', 'contact:email': 'info@molplugee.hu'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,,,,,2022-04-26 09:42:01.589217,
5405,168,30,,102,1101,Budapest,Könyves Kálmán körút,23,,POINT (47.48581 19.1078),Könyves Kálmán krt. 23.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,50 kW,1.0,50 kW,1.0,22 kW,,nan,Efacec,QC45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-26 09:37:47.161229+00:00,,,47.48581,19.1078,30,MOL Plugee,charging_station,"{'contact:phone': '+36 1 998 9888', 'authentication:none': 'yes', 'amenity': 'charging_station', 'opening_hours': '24/7', 'contact:website': 'https://molplugee.hu/', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'authentication:app': 'yes', 'ref:vatin': 'HU10625790', 'brand': 'MOL', 'ref:vatin:hu': '10625790-4-44', 'motorcar': 'yes', 'fee': 'yes', 'ref:HU:company': '01-10-041683', 'operator': 'MOL Nyrt.', 'contact:email': 'info@molplugee.hu'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,,,,,2022-04-26 09:42:01.589217,
5406,172,30,,112,1113,Budapest,Nagyszőlős utca,47,,POINT (47.47474 19.025),Nagyszőlős u. 47.,,,,,,,,,,,,,,,,nan,,,,,,2.0,,,,1.0,75 kW,1.0,75 kW,1.0,22 kW,,nan,DBT,NG150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-26 09:37:47.161229+00:00,,,47.47474,19.025,30,MOL Plugee,charging_station,"{'contact:phone': '+36 1 998 9888', 'authentication:none': 'yes', 'amenity': 'charging_station', 'opening_hours': '24/7', 'contact:website': 'https://molplugee.hu/', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'parking:fee': 'no', 'authentication:app': 'yes', 'ref:vatin': 'HU10625790', 'brand': 'MOL', 'ref:vatin:hu': '10625790-4-44', 'motorcar': 'yes', 'fee': 'yes', 'ref:HU:company': '01-10-041683', 'operator': 'MOL Nyrt.', 'contact:email': 'info@molplugee.hu'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,50.0,30.0,10.0,,,,,2022-04-26 09:42:01.589217,
