,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
4545,4331,16,1 számú automata - Stop-Shop áruház,446,1826,Budapest,Hűvösvölgyi,138,,POINT (47.54018 18.96596),Hűvösvölgyi 138,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,True,,2022-06-01 13:20:40.601754+00:00,,,47.54018,18.96596,16,Posta csomagautomata,vending_machine_parcel_locker,"{'payment:debit_cards': 'yes', 'ref:vatin:hu': '10901232-2-44', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'brand': 'Magyar Posta', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'parcel_mail_in': 'yes', 'payment:cash': 'yes', 'phone': '+3617678200', 'ref:vatin': 'HU10901232', 'operator': 'Magyar Posta Zrt.', 'contact:email': 'ugyfelszolgalat@posta.hu', 'brand:wikidata': 'Q145614', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'amenity': 'parcel_locker'}",https://www.posta.hu,hupostacso,(mpl|posta),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
4546,4358,16,33 számú automata - Pesti úti Tesco,446,1826,Budapest,Pesti,5-7,,POINT (47.48444 19.23036),Pesti 5-7,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,True,,2022-06-01 13:20:40.601754+00:00,,,47.48444,19.23036,16,Posta csomagautomata,vending_machine_parcel_locker,"{'payment:debit_cards': 'yes', 'ref:vatin:hu': '10901232-2-44', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'brand': 'Magyar Posta', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'parcel_mail_in': 'yes', 'payment:cash': 'yes', 'phone': '+3617678200', 'ref:vatin': 'HU10901232', 'operator': 'Magyar Posta Zrt.', 'contact:email': 'ugyfelszolgalat@posta.hu', 'brand:wikidata': 'Q145614', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'amenity': 'parcel_locker'}",https://www.posta.hu,hupostacso,(mpl|posta),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
4547,4334,16,5 számú automata - Shopmark parkoló,446,1826,Budapest,Üllői,201,,POINT (47.46398 19.12949),Üllői 201,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,True,,2022-06-01 13:20:40.601754+00:00,,,47.46398,19.12949,16,Posta csomagautomata,vending_machine_parcel_locker,"{'payment:debit_cards': 'yes', 'ref:vatin:hu': '10901232-2-44', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'brand': 'Magyar Posta', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'parcel_mail_in': 'yes', 'payment:cash': 'yes', 'phone': '+3617678200', 'ref:vatin': 'HU10901232', 'operator': 'Magyar Posta Zrt.', 'contact:email': 'ugyfelszolgalat@posta.hu', 'brand:wikidata': 'Q145614', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'amenity': 'parcel_locker'}",https://www.posta.hu,hupostacso,(mpl|posta),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
4548,4364,16,38 számú automata - Lőrinc Center,446,1826,Budapest,Üllői,661,,POINT (47.4346 19.20196),Üllői 661,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,06:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,06:00:00,,,,,,,,,,,,,,,,,True,,2022-06-01 13:20:40.601754+00:00,,,47.4346,19.20196,16,Posta csomagautomata,vending_machine_parcel_locker,"{'payment:debit_cards': 'yes', 'ref:vatin:hu': '10901232-2-44', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'brand': 'Magyar Posta', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'parcel_mail_in': 'yes', 'payment:cash': 'yes', 'phone': '+3617678200', 'ref:vatin': 'HU10901232', 'operator': 'Magyar Posta Zrt.', 'contact:email': 'ugyfelszolgalat@posta.hu', 'brand:wikidata': 'Q145614', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'amenity': 'parcel_locker'}",https://www.posta.hu,hupostacso,(mpl|posta),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
4549,4339,16,10 számú automata - KÖKI,446,1826,Budapest,Vak Bottyán,75 a-c,,POINT (47.46195 19.14692),Vak Bottyán 75 a-c,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,True,,2022-06-01 13:20:40.601754+00:00,,,47.46195,19.14692,16,Posta csomagautomata,vending_machine_parcel_locker,"{'payment:debit_cards': 'yes', 'ref:vatin:hu': '10901232-2-44', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'brand': 'Magyar Posta', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'parcel_mail_in': 'yes', 'payment:cash': 'yes', 'phone': '+3617678200', 'ref:vatin': 'HU10901232', 'operator': 'Magyar Posta Zrt.', 'contact:email': 'ugyfelszolgalat@posta.hu', 'brand:wikidata': 'Q145614', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'amenity': 'parcel_locker'}",https://www.posta.hu,hupostacso,(mpl|posta),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
4550,4641,16,12 számú automata - Stop-Shop áruház,0,1834,Érd,Budai,13,,POINT (47.37804 18.92136),Budai 13,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,True,,2022-06-01 13:20:40.601754+00:00,,,47.37804,18.92136,16,Posta csomagautomata,vending_machine_parcel_locker,"{'payment:debit_cards': 'yes', 'ref:vatin:hu': '10901232-2-44', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'brand': 'Magyar Posta', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'parcel_mail_in': 'yes', 'payment:cash': 'yes', 'phone': '+3617678200', 'ref:vatin': 'HU10901232', 'operator': 'Magyar Posta Zrt.', 'contact:email': 'ugyfelszolgalat@posta.hu', 'brand:wikidata': 'Q145614', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'amenity': 'parcel_locker'}",https://www.posta.hu,hupostacso,(mpl|posta),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
4551,4369,16,43 számú automata - Árpád híd metró aluljáró,454,1836,Budapest,Árpád,aluljáró,,POINT (47.53243 19.06646),Árpád aluljáró,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,True,,2022-06-01 13:20:40.601754+00:00,,,47.53243,19.06646,16,Posta csomagautomata,vending_machine_parcel_locker,"{'payment:debit_cards': 'yes', 'ref:vatin:hu': '10901232-2-44', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'brand': 'Magyar Posta', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'parcel_mail_in': 'yes', 'payment:cash': 'yes', 'phone': '+3617678200', 'ref:vatin': 'HU10901232', 'operator': 'Magyar Posta Zrt.', 'contact:email': 'ugyfelszolgalat@posta.hu', 'brand:wikidata': 'Q145614', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'amenity': 'parcel_locker'}",https://www.posta.hu,hupostacso,(mpl|posta),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
4552,4801,16,2 számú automata - Bécsi út Tesco,454,1836,Budapest,Bécsi,258,,POINT (47.56385 19.02293),Bécsi 258,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,True,,2022-06-01 13:20:40.601754+00:00,,,47.56385,19.02293,16,Posta csomagautomata,vending_machine_parcel_locker,"{'payment:debit_cards': 'yes', 'ref:vatin:hu': '10901232-2-44', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'brand': 'Magyar Posta', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'parcel_mail_in': 'yes', 'payment:cash': 'yes', 'phone': '+3617678200', 'ref:vatin': 'HU10901232', 'operator': 'Magyar Posta Zrt.', 'contact:email': 'ugyfelszolgalat@posta.hu', 'brand:wikidata': 'Q145614', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'amenity': 'parcel_locker'}",https://www.posta.hu,hupostacso,(mpl|posta),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
4553,4332,16,3 számú automata - Váci út Tesco,454,1836,Budapest,Gács,3,,POINT (47.55637 19.08135),Gács 3,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,True,,2022-06-01 13:20:40.601754+00:00,,,47.55637,19.08135,16,Posta csomagautomata,vending_machine_parcel_locker,"{'payment:debit_cards': 'yes', 'ref:vatin:hu': '10901232-2-44', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'brand': 'Magyar Posta', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'parcel_mail_in': 'yes', 'payment:cash': 'yes', 'phone': '+3617678200', 'ref:vatin': 'HU10901232', 'operator': 'Magyar Posta Zrt.', 'contact:email': 'ugyfelszolgalat@posta.hu', 'brand:wikidata': 'Q145614', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'amenity': 'parcel_locker'}",https://www.posta.hu,hupostacso,(mpl|posta),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
4554,4509,16,37 számú automata - Asia Center,454,1836,Budapest,Szentmihályi,167-169,,POINT (47.54643 19.14409),Szentmihályi 167-169,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,True,,2022-06-01 13:20:40.601754+00:00,,,47.54643,19.14409,16,Posta csomagautomata,vending_machine_parcel_locker,"{'payment:debit_cards': 'yes', 'ref:vatin:hu': '10901232-2-44', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'brand': 'Magyar Posta', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'parcel_mail_in': 'yes', 'payment:cash': 'yes', 'phone': '+3617678200', 'ref:vatin': 'HU10901232', 'operator': 'Magyar Posta Zrt.', 'contact:email': 'ugyfelszolgalat@posta.hu', 'brand:wikidata': 'Q145614', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'amenity': 'parcel_locker'}",https://www.posta.hu,hupostacso,(mpl|posta),,False,False,2000.0,200.0,,,,,,2022-06-08 15:28:46.243493,
