,pa_id,poi_common_id,poi_name,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_additional_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_lat,poi_lon,poi_created,poi_updated,poi_deleted,pc_id,poi_common_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,do_not_export_addr_tags,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,additional_ref_name,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
181,1155,3,,,22,1011,Budapest,Batthyány tér,5-6,,POINT (47.506160736083984 19.0380802154541),Batthyány tér 5-6.,https://www.dm.hu/hu-220/budapest/batthyany-ter-5-6,,,,,,,,,,,,,,,220,,+36 30 301 7286,,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,15:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 08:00-19:00; Sa 08:00-15:00; PH off,47.506160736083984,19.0380802154541,2023-01-11 16:07:20.187791+00:00,,,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand': 'dm', 'brand:wikidata': 'Q266572', 'brand:wikipedia': 'en:Dm-drogerie markt', 'contact:facebook': 'https://www.facebook.com/dm.Magyarorszag', 'contact:youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'contact:instagram': 'https://www.instagram.com/dm_magyarorszag', 'ref:vatin': 'HU11181530', 'ref:HU:vatin': '11181530-2-44', 'ref:HU:company': '13-09-078006', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.dm.hu,hudmche,dm,,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-12 20:56:16.754950,
182,1000,3,,,24,1013,Budapest,Krisztina körút,39/B,,POINT (47.49998092651367 19.025619506835938),Krisztina körút 39/b.,https://www.dm.hu/hu-148/budapest/krisztina-koerut-39-b,,,,,,,,,,,,,,,148,,+36 30 781 6951,,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,08:00:00,,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,13:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 07:00-19:00; Sa 08:00-13:00; PH off,47.49998092651367,19.025619506835938,2023-01-11 16:07:20.187791+00:00,,,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand': 'dm', 'brand:wikidata': 'Q266572', 'brand:wikipedia': 'en:Dm-drogerie markt', 'contact:facebook': 'https://www.facebook.com/dm.Magyarorszag', 'contact:youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'contact:instagram': 'https://www.instagram.com/dm_magyarorszag', 'ref:vatin': 'HU11181530', 'ref:HU:vatin': '11181530-2-44', 'ref:HU:company': '13-09-078006', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.dm.hu,hudmche,dm,,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-12 20:56:16.754950,
183,882,3,,,27,1016,Budapest,Krisztina körút,65-67,,POINT (47.49676513671875 19.03179931640625),Krisztina krt. 65-67.,https://www.dm.hu/hu-363/budapest/krisztina-krt-65-67,,,,,,,,,,,,,,,363,,+36 30 411 0128,,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:30:00,,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,16:30:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 07:00-19:00; Sa 07:30-16:30; PH off,47.49676513671875,19.03179931640625,2023-01-11 16:07:20.187791+00:00,,,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand': 'dm', 'brand:wikidata': 'Q266572', 'brand:wikipedia': 'en:Dm-drogerie markt', 'contact:facebook': 'https://www.facebook.com/dm.Magyarorszag', 'contact:youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'contact:instagram': 'https://www.instagram.com/dm_magyarorszag', 'ref:vatin': 'HU11181530', 'ref:HU:vatin': '11181530-2-44', 'ref:HU:company': '13-09-078006', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.dm.hu,hudmche,dm,,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-12 20:56:16.754950,
184,1077,3,,,28,1021,Budapest,Hűvösvölgyi út,138,,POINT (47.537681579589844 18.966379165649414),Hűvösvölgyi út 138.,https://www.dm.hu/hu-139/budapest/huvoesvoelgyi-ut-138,,,,,,,,,,,,,,,139,,+36 30 886 9709,,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,08:00:00,08:00:00,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,18:00:00,16:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 07:00-19:00; Sa 08:00-18:00; Su 08:00-16:00; PH off,47.537681579589844,18.966379165649414,2023-01-11 16:07:20.187791+00:00,,,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand': 'dm', 'brand:wikidata': 'Q266572', 'brand:wikipedia': 'en:Dm-drogerie markt', 'contact:facebook': 'https://www.facebook.com/dm.Magyarorszag', 'contact:youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'contact:instagram': 'https://www.instagram.com/dm_magyarorszag', 'ref:vatin': 'HU11181530', 'ref:HU:vatin': '11181530-2-44', 'ref:HU:company': '13-09-078006', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.dm.hu,hudmche,dm,,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-12 20:56:16.754950,
185,1014,3,,,30,1023,Budapest,Bécsi út,33-35,,POINT (47.52716827392578 19.038270950317383),Bécsi út 33-35.,https://www.dm.hu/hu-308/budapest/becsi-ut-33-35,,,,,,,,,,,,,,,308,,+36 30 886 9714,,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,09:00:00,,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,15:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 08:00-19:00; Sa 09:00-15:00; PH off,47.52716827392578,19.038270950317383,2023-01-11 16:07:20.187791+00:00,,,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand': 'dm', 'brand:wikidata': 'Q266572', 'brand:wikipedia': 'en:Dm-drogerie markt', 'contact:facebook': 'https://www.facebook.com/dm.Magyarorszag', 'contact:youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'contact:instagram': 'https://www.instagram.com/dm_magyarorszag', 'ref:vatin': 'HU11181530', 'ref:HU:vatin': '11181530-2-44', 'ref:HU:company': '13-09-078006', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.dm.hu,hudmche,dm,,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-12 20:56:16.754950,
186,1169,3,,,31,1024,Budapest,Lövőház utca,1-5,,POINT (47.50897979736328 19.02665138244629),Lövőház utca 1-5.,https://www.dm.hu/hu-119/budapest/loevohaz-utca-1-5,,,,,,,,,,,,,,,119,,+36 30 886 9733,,,,,,,,,,,,,,,,,,,,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,,,,,,,,,,,,,,,,,False,Mo-Su 09:00-19:00; PH off,47.50897979736328,19.02665138244629,2023-01-11 16:07:20.187791+00:00,,,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand': 'dm', 'brand:wikidata': 'Q266572', 'brand:wikipedia': 'en:Dm-drogerie markt', 'contact:facebook': 'https://www.facebook.com/dm.Magyarorszag', 'contact:youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'contact:instagram': 'https://www.instagram.com/dm_magyarorszag', 'ref:vatin': 'HU11181530', 'ref:HU:vatin': '11181530-2-44', 'ref:HU:company': '13-09-078006', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.dm.hu,hudmche,dm,,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-12 20:56:16.754950,
187,972,3,,,32,1025,Budapest,Törökvész út,87-91,,POINT (47.529056549072266 19.00525665283203),Törökvész út 87-91.,https://www.dm.hu/hu-100/budapest/toeroekvesz-ut-87-91,,,,,,,,,,,,,,,100,,+36 30 886 9703,,,,,,,,,,,,,,,,,,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,09:00:00,09:00:00,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,18:00:00,16:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 08:00-19:00; Sa 09:00-18:00; Su 09:00-16:00; PH off,47.529056549072266,19.00525665283203,2023-01-11 16:07:20.187791+00:00,,,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand': 'dm', 'brand:wikidata': 'Q266572', 'brand:wikipedia': 'en:Dm-drogerie markt', 'contact:facebook': 'https://www.facebook.com/dm.Magyarorszag', 'contact:youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'contact:instagram': 'https://www.instagram.com/dm_magyarorszag', 'ref:vatin': 'HU11181530', 'ref:HU:vatin': '11181530-2-44', 'ref:HU:company': '13-09-078006', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.dm.hu,hudmche,dm,,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-12 20:56:16.754950,
188,922,3,,,33,1026,Budapest,Gábor Áron utca,74-78,,POINT (47.5225830078125 19.0147762298584),Gábor Áron utca 74-78/a.,https://www.dm.hu/hu-163/budapest/gabor-aron-utca-74-78-a,,,,,,,,,,,,,,,163,,+36 30 412 5352,,,,,,,,,,,,,,,,,,,,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,16:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 09:00-19:00; Su 09:00-16:00; PH off,47.5225830078125,19.0147762298584,2023-01-11 16:07:20.187791+00:00,,,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand': 'dm', 'brand:wikidata': 'Q266572', 'brand:wikipedia': 'en:Dm-drogerie markt', 'contact:facebook': 'https://www.facebook.com/dm.Magyarorszag', 'contact:youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'contact:instagram': 'https://www.instagram.com/dm_magyarorszag', 'ref:vatin': 'HU11181530', 'ref:HU:vatin': '11181530-2-44', 'ref:HU:company': '13-09-078006', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.dm.hu,hudmche,dm,,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-12 20:56:16.754950,
189,1253,3,,,33,1026,Budapest,Pázsit utca,2,,POINT (47.51631164550781 18.999900817871094),Pázsit utca 2.,https://www.dm.hu/hu-318/budapest/pazsit-utca-2,,,,,,,,,,,,,,,318,,+36 30 412 1869,,,,,,,,,,,,,,,,,,,,08:30:00,08:30:00,08:30:00,08:30:00,08:30:00,08:30:00,,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,17:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 08:30-19:00; Sa 08:30-17:00; PH off,47.51631164550781,18.999900817871094,2023-01-11 16:07:20.187791+00:00,,,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand': 'dm', 'brand:wikidata': 'Q266572', 'brand:wikipedia': 'en:Dm-drogerie markt', 'contact:facebook': 'https://www.facebook.com/dm.Magyarorszag', 'contact:youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'contact:instagram': 'https://www.instagram.com/dm_magyarorszag', 'ref:vatin': 'HU11181530', 'ref:HU:vatin': '11181530-2-44', 'ref:HU:company': '13-09-078006', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.dm.hu,hudmche,dm,,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-12 20:56:16.754950,
190,872,3,,,34,1027,Budapest,Margit körút,50-52,,POINT (47.51089859008789 19.032230377197266),Margit körút 50-52.,https://www.dm.hu/hu-115/budapest/margit-koerut-50-52,,,,,,,,,,,,,,,115,,+36 30 401 3403,,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,08:00:00,,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,16:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 07:00-19:00; Sa 08:00-16:00; PH off,47.51089859008789,19.032230377197266,2023-01-11 16:07:20.187791+00:00,,,3,dm,chemist,"{'shop': 'chemist', 'operator': 'dm Kft.', 'brand': 'dm', 'brand:wikidata': 'Q266572', 'brand:wikipedia': 'en:Dm-drogerie markt', 'contact:facebook': 'https://www.facebook.com/dm.Magyarorszag', 'contact:youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'contact:instagram': 'https://www.instagram.com/dm_magyarorszag', 'ref:vatin': 'HU11181530', 'ref:HU:vatin': '11181530-2-44', 'ref:HU:company': '13-09-078006', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://www.dm.hu,hudmche,dm,,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-12 20:56:16.754950,
