,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
5159,7387,23,,41,1025,Budapest,Csatárka utca,51,,POINT (47.53036 19.009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-03-07 10:35:34.394797+00:00,,,47.53036,19.009,23,Kulcs Patika,pharmacy,"{'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Kulcs Patika', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'dispensing': 'yes', 'amenity': 'pharmacy', 'air_conditioning': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:mastercard': 'yes'}",https://www.kulcspatika.hu/,hukulcspha,(kulcs patika|kulcs),,True,False,,,,,,,,2022-03-07 11:06:58.941541,
5160,7416,23,,43,1027,Budapest,Margit körút,54,,POINT (47.5106 19.03148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-03-07 10:35:34.394797+00:00,,,47.5106,19.03148,23,Kulcs Patika,pharmacy,"{'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Kulcs Patika', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'dispensing': 'yes', 'amenity': 'pharmacy', 'air_conditioning': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:mastercard': 'yes'}",https://www.kulcspatika.hu/,hukulcspha,(kulcs patika|kulcs),,True,False,,,,,,,,2022-03-07 11:06:58.941541,
5161,7347,23,,46,1031,Budapest,Torma Károly utca,19-20,,POINT (47.56997 19.0498),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-03-07 10:35:34.394797+00:00,,,47.56997,19.0498,23,Kulcs Patika,pharmacy,"{'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Kulcs Patika', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'dispensing': 'yes', 'amenity': 'pharmacy', 'air_conditioning': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:mastercard': 'yes'}",https://www.kulcspatika.hu/,hukulcspha,(kulcs patika|kulcs),,True,False,,,,,,,,2022-03-07 11:06:58.941541,
5162,7489,23,,51,1036,Budapest,Pacsirtamező utca,49,,POINT (47.53756 19.04069),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-03-07 10:35:34.394797+00:00,,,47.53756,19.04069,23,Kulcs Patika,pharmacy,"{'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Kulcs Patika', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'dispensing': 'yes', 'amenity': 'pharmacy', 'air_conditioning': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:mastercard': 'yes'}",https://www.kulcspatika.hu/,hukulcspha,(kulcs patika|kulcs),,True,False,,,,,,,,2022-03-07 11:06:58.941541,
5163,7402,23,,54,1039,Budapest,Pablo Neruda utca,1,,POINT (47.59681 19.04995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-03-07 10:35:34.394797+00:00,,,47.59681,19.04995,23,Kulcs Patika,pharmacy,"{'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Kulcs Patika', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'dispensing': 'yes', 'amenity': 'pharmacy', 'air_conditioning': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:mastercard': 'yes'}",https://www.kulcspatika.hu/,hukulcspha,(kulcs patika|kulcs),,True,False,,,,,,,,2022-03-07 11:06:58.941541,
5164,7522,23,,56,1042,Budapest,Rózsa utca,16,,POINT (47.55741 19.10008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-03-07 10:35:34.394797+00:00,,,47.55741,19.10008,23,Kulcs Patika,pharmacy,"{'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Kulcs Patika', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'dispensing': 'yes', 'amenity': 'pharmacy', 'air_conditioning': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:mastercard': 'yes'}",https://www.kulcspatika.hu/,hukulcspha,(kulcs patika|kulcs),,True,False,,,,,,,,2022-03-07 11:06:58.941541,
5165,7555,23,,59,1045,Budapest,Árpád út,183-185,,POINT (47.56194 19.10641),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-03-07 10:35:34.394797+00:00,,,47.56194,19.10641,23,Kulcs Patika,pharmacy,"{'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Kulcs Patika', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'dispensing': 'yes', 'amenity': 'pharmacy', 'air_conditioning': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:mastercard': 'yes'}",https://www.kulcspatika.hu/,hukulcspha,(kulcs patika|kulcs),,True,False,,,,,,,,2022-03-07 11:06:58.941541,
5166,7480,23,,60,1046,Budapest,Nádor utca,2,,POINT (47.56581 19.08802),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-03-07 10:35:34.394797+00:00,,,47.56581,19.08802,23,Kulcs Patika,pharmacy,"{'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Kulcs Patika', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'dispensing': 'yes', 'amenity': 'pharmacy', 'air_conditioning': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:mastercard': 'yes'}",https://www.kulcspatika.hu/,hukulcspha,(kulcs patika|kulcs),,True,False,,,,,,,,2022-03-07 11:06:58.941541,
5167,7470,23,,63,1051,Budapest,Hercegprímás utca,12,,POINT (47.50204 19.05292),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-03-07 10:35:34.394797+00:00,,,47.50204,19.05292,23,Kulcs Patika,pharmacy,"{'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Kulcs Patika', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'dispensing': 'yes', 'amenity': 'pharmacy', 'air_conditioning': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:mastercard': 'yes'}",https://www.kulcspatika.hu/,hukulcspha,(kulcs patika|kulcs),,True,False,,,,,,,,2022-03-07 11:06:58.941541,
5168,7535,23,,67,1055,Budapest,Szent István körút,7,,POINT (47.5123 19.04965),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-03-07 10:35:34.394797+00:00,,,47.5123,19.04965,23,Kulcs Patika,pharmacy,"{'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Kulcs Patika', 'payment:cash': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:visa': 'yes', 'dispensing': 'yes', 'amenity': 'pharmacy', 'air_conditioning': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:mastercard': 'yes'}",https://www.kulcspatika.hu/,hukulcspha,(kulcs patika|kulcs),,True,False,,,,,,,,2022-03-07 11:06:58.941541,
