,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
4528,5256,14,Media Markt Buda (Mammut II),40,1024,Budapest,Lövőház utca,2-4,,POINT (47.50869 19.02516),Lövőház utca 2-4,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,,,,,,,,,,,,,,,,,False,,2022-03-07 10:16:09.996546+00:00,,,47.50869,19.02516,14,PostaPont,post_office,"{'operator': 'Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'payment:cash': 'yes', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'ref:vatin:hu': '10901232-2-44', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'amenity': 'post_office', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'phone': '+3617678200', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'brand': 'Magyar Posta', 'ref:vatin': 'HU10901232', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapp,(postapont|posta),,False,True,2000.0,300.0,220.0,,,,,2022-03-07 11:06:58.941541,
4529,5492,14,12081 számú MOL töltőállomás,48,1033,Budapest,Mozaik utca,3,,POINT (47.55338 19.04642),Mozaik utca 3,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,,,,,,,,,,,,,,,,,False,,2022-03-07 10:16:09.996546+00:00,,,47.55338,19.04642,14,PostaPont,post_office,"{'operator': 'Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'payment:cash': 'yes', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'ref:vatin:hu': '10901232-2-44', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'amenity': 'post_office', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'phone': '+3617678200', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'brand': 'Magyar Posta', 'ref:vatin': 'HU10901232', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapp,(postapont|posta),,False,True,2000.0,300.0,220.0,,,,,2022-03-07 11:06:58.941541,
4530,4521,14,60040 számú MOL töltőállomás,48,1033,Budapest,Szentendrei út,59/a,,POINT (47.55152 19.04433),Szentendrei út 59/a,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,,,,,,,,,,,,,,,,,False,,2022-03-07 10:16:09.996546+00:00,,,47.55152,19.04433,14,PostaPont,post_office,"{'operator': 'Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'payment:cash': 'yes', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'ref:vatin:hu': '10901232-2-44', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'amenity': 'post_office', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'phone': '+3617678200', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'brand': 'Magyar Posta', 'ref:vatin': 'HU10901232', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapp,(postapont|posta),,False,True,2000.0,300.0,220.0,,,,,2022-03-07 11:06:58.941541,
4531,4698,14,Media Markt Stop Shop,52,1037,Budapest,Bécsi út,136,,POINT (47.5423 19.03004),Bécsi út 136,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,,,,,,,,,,,,,,,,,False,,2022-03-07 10:16:09.996546+00:00,,,47.5423,19.03004,14,PostaPont,post_office,"{'operator': 'Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'payment:cash': 'yes', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'ref:vatin:hu': '10901232-2-44', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'amenity': 'post_office', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'phone': '+3617678200', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'brand': 'Magyar Posta', 'ref:vatin': 'HU10901232', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapp,(postapont|posta),,False,True,2000.0,300.0,220.0,,,,,2022-03-07 11:06:58.941541,
4532,4520,14,60000 számú MOL töltőállomás,52,1037,Budapest,Gémeskút utca,12,,POINT (47.5615 19.02456),Gémeskút utca 12,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,,,,,,,,,,,,,,,,,False,,2022-03-07 10:16:09.996546+00:00,,,47.5615,19.02456,14,PostaPont,post_office,"{'operator': 'Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'payment:cash': 'yes', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'ref:vatin:hu': '10901232-2-44', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'amenity': 'post_office', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'phone': '+3617678200', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'brand': 'Magyar Posta', 'ref:vatin': 'HU10901232', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapp,(postapont|posta),,False,True,2000.0,300.0,220.0,,,,,2022-03-07 11:06:58.941541,
4533,4522,14,60120 számú MOL töltőállomás,54,1039,Budapest,Szentendrei út,255,,POINT (47.58124 19.04893),Szentendrei út 255,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,,,,,,,,,,,,,,,,,False,,2022-03-07 10:16:09.996546+00:00,,,47.58124,19.04893,14,PostaPont,post_office,"{'operator': 'Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'payment:cash': 'yes', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'ref:vatin:hu': '10901232-2-44', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'amenity': 'post_office', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'phone': '+3617678200', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'brand': 'Magyar Posta', 'ref:vatin': 'HU10901232', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapp,(postapont|posta),,False,True,2000.0,300.0,220.0,,,,,2022-03-07 11:06:58.941541,
4534,4523,14,60160 számú MOL töltőállomás,58,1044,Budapest,Váci út,84-90,,POINT (47.57496 19.08075),Váci út 84-90,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,,,,,,,,,,,,,,,,,False,,2022-03-07 10:16:09.996546+00:00,,,47.57496,19.08075,14,PostaPont,post_office,"{'operator': 'Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'payment:cash': 'yes', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'ref:vatin:hu': '10901232-2-44', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'amenity': 'post_office', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'phone': '+3617678200', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'brand': 'Magyar Posta', 'ref:vatin': 'HU10901232', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapp,(postapont|posta),,False,True,2000.0,300.0,220.0,,,,,2022-03-07 11:06:58.941541,
4535,6355,14,12177 számú MOL töltőállomás,60,1046,Budapest,Fóti út,130,,POINT (47.57187 19.1102),Fóti út 130,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,,,,,,,,,,,,,,,,,False,,2022-03-07 10:16:09.996546+00:00,,,47.57187,19.1102,14,PostaPont,post_office,"{'operator': 'Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'payment:cash': 'yes', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'ref:vatin:hu': '10901232-2-44', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'amenity': 'post_office', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'phone': '+3617678200', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'brand': 'Magyar Posta', 'ref:vatin': 'HU10901232', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapp,(postapont|posta),,False,True,2000.0,300.0,220.0,,,,,2022-03-07 11:06:58.941541,
4536,4697,14,Media Markt Westend,70,1062,Budapest,Váci út,1-3,,POINT (47.513 19.05778),Váci út 1-3,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,,,,,,,,,,,,,,,,,False,,2022-03-07 10:16:09.996546+00:00,,,47.513,19.05778,14,PostaPont,post_office,"{'operator': 'Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'payment:cash': 'yes', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'ref:vatin:hu': '10901232-2-44', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'amenity': 'post_office', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'phone': '+3617678200', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'brand': 'Magyar Posta', 'ref:vatin': 'HU10901232', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapp,(postapont|posta),,False,True,2000.0,300.0,220.0,,,,,2022-03-07 11:06:58.941541,
4537,7308,14,12347 számú MOL töltőállomás,86,1082,Budapest,Futó utca,.,,POINT (47.48541 19.07475),Futó utca .,,,,,,,,,,,,,,,,,+36 1 767 8272,uzleti.ugyfelszolgalat@posta.hu,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,,,,,,,,,,,,,,,,,False,,2022-03-07 10:16:09.996546+00:00,,,47.48541,19.07475,14,PostaPont,post_office,"{'operator': 'Magyar Posta Zrt.', 'brand:wikidata': 'Q145614', 'contact:email': 'ugyfelszolgalat@posta.hu', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'payment:cash': 'yes', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'ref:vatin:hu': '10901232-2-44', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'amenity': 'post_office', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'phone': '+3617678200', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'brand': 'Magyar Posta', 'ref:vatin': 'HU10901232', 'payment:debit_cards': 'yes'}",https://www.posta.hu,hupostapp,(postapont|posta),,False,True,2000.0,300.0,220.0,,,,,2022-03-07 11:06:58.941541,
