,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
4346,2360,18,Príma Élelmiszer Áruház - Déli,30,1013,Budapest,Krisztina körút,37,,POINT (47.49998 19.02585),Krisztina krt. 37.,,,,,,,,,,,,,,,,,+36 1 489 0320,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,,,,,,,,,,,,,,,,,False,Mo-Su 06:00-21:00; PH off,2021-12-20 08:45:44.177407+00:00,,,47.49998,19.02585,18,Príma,shop,"{'payment:contactless': 'yes', 'payment:cash': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'brand': 'Príma', 'payment:mastercard_contactless': 'yes'}",https://www.prima.hu,huprimacon,(príma abc|prima abc|príma|prima),,True,False,2000.0,200.0,23.0,,,,,2022-02-11 09:58:26.013591,
4347,2369,18,Príma Élelmiszer Áruház - Lövőház,37,1024,Budapest,Lövőház utca,12-14,,POINT (47.50909 19.02532),Lövőház utca 12-14.,,,,,,,,,,,,,,,,,+36 1 336 0347,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,20:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-21:00; Su 08:00-20:00; PH off,2021-12-20 08:45:44.177407+00:00,,,47.50909,19.02532,18,Príma,shop,"{'payment:contactless': 'yes', 'payment:cash': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'brand': 'Príma', 'payment:mastercard_contactless': 'yes'}",https://www.prima.hu,huprimacon,(príma abc|prima abc|príma|prima),,True,False,2000.0,200.0,23.0,,,,,2022-02-11 09:58:26.013591,
4348,2165,18,Príma Élelmiszer Vihar u. 17.,47,1035,Budapest,Vihar utca,17,,POINT (47.54632 19.03825),Vihar u 17.,,,,,,,,,,,,,,,,,+36 1 439 0932,vihar@jegcsillag.hu,,,,,,,,,,,,,,,,,,,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,07:00:00,07:30:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,17:00:00,14:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:30-20:00; Sa 07:00-17:00; Su 07:30-14:00; PH off,2021-12-20 08:45:44.177407+00:00,,,47.54632,19.03825,18,Príma,shop,"{'payment:contactless': 'yes', 'payment:cash': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'brand': 'Príma', 'payment:mastercard_contactless': 'yes'}",https://www.prima.hu,huprimacon,(príma abc|prima abc|príma|prima),,True,False,2000.0,200.0,23.0,,,,,2022-02-11 09:58:26.013591,
4349,2878,18,Buda Gourmet Príma,48,1036,Budapest,Bécsi út,38-44,,POINT (47.52853 19.03771),Bécsi út 38-44.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 07:00-20:00; Sa-Su 07:00-17:00; PH off,2021-12-20 08:45:44.177407+00:00,,,47.52853,19.03771,18,Príma,shop,"{'payment:contactless': 'yes', 'payment:cash': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'brand': 'Príma', 'payment:mastercard_contactless': 'yes'}",https://www.prima.hu,huprimacon,(príma abc|prima abc|príma|prima),,True,False,2000.0,200.0,23.0,,,,,2022-02-11 09:58:26.013591,
4350,2167,18,Príma Élelmiszer Hatvany L.u.10.,51,1039,Budapest,Hatvany Lajos utca,10,,POINT (47.59916 19.0641),Hatvany Lajos u 10,,,,,,,,,,,,,,,,,+36 1 250 2843,hatvany@jegcsillag.hu,,,,,,,,,,,,,,,,,,,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,07:00:00,,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,14:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 06:30-20:00; Sa 07:00-14:00; PH off,2021-12-20 08:45:44.177407+00:00,,,47.59916,19.0641,18,Príma,shop,"{'payment:contactless': 'yes', 'payment:cash': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'brand': 'Príma', 'payment:mastercard_contactless': 'yes'}",https://www.prima.hu,huprimacon,(príma abc|prima abc|príma|prima),,True,False,2000.0,200.0,23.0,,,,,2022-02-11 09:58:26.013591,
4351,2390,18,Príma Munkásotthon,53,1042,Budapest,Munkásotthon utca,26,,POINT (47.55963 19.08996),Munkásotthon utca 26.,,,,,,,,,,,,,,,,,+36 1 231 0215,cba-ujpest@lazarteam.hu,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,08:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,19:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-21:00; Su 08:00-19:00; PH off,2021-12-20 08:45:44.177407+00:00,,,47.55963,19.08996,18,Príma,shop,"{'payment:contactless': 'yes', 'payment:cash': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'brand': 'Príma', 'payment:mastercard_contactless': 'yes'}",https://www.prima.hu,huprimacon,(príma abc|prima abc|príma|prima),,True,False,2000.0,200.0,23.0,,,,,2022-02-11 09:58:26.013591,
4352,2148,18,Príma Élelmiszer Berda József u. 48.,54,1043,Budapest,Berda József utca,48,,POINT (47.55738 19.08835),Berda József u 48.,,,,,,,,,,,,,,,,,+36 1 399 0559,berda@jegcsillag.hu,,,,,,,,,,,,,,,,,,,06:30:00,06:30:00,06:30:00,06:30:00,06:30:00,07:00:00,07:30:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,16:00:00,14:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 06:30-20:00; Sa 07:00-16:00; Su 07:30-14:00; PH off,2021-12-20 08:45:44.177407+00:00,,,47.55738,19.08835,18,Príma,shop,"{'payment:contactless': 'yes', 'payment:cash': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'brand': 'Príma', 'payment:mastercard_contactless': 'yes'}",https://www.prima.hu,huprimacon,(príma abc|prima abc|príma|prima),,True,False,2000.0,200.0,23.0,,,,,2022-02-11 09:58:26.013591,
4353,2410,18,Príma József Attila,60,1051,Budapest,József Attila utca,16,,POINT (47.49907 19.05167),József Attila utca 16.,,,,,,,,,,,,,,,,,+36 1 235 0830,cba-jozsefattila@lazarteam.hu,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,08:00:00,11:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,19:00:00,,,,,,,,,,,,,,,,,False,Mo-Fr 07:00-21:00; Sa 08:00-21:00; Su 11:00-19:00; PH off,2021-12-20 08:45:44.177407+00:00,,,47.49907,19.05167,18,Príma,shop,"{'payment:contactless': 'yes', 'payment:cash': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'brand': 'Príma', 'payment:mastercard_contactless': 'yes'}",https://www.prima.hu,huprimacon,(príma abc|prima abc|príma|prima),,True,False,2000.0,200.0,23.0,,,,,2022-02-11 09:58:26.013591,
4354,2188,18,Pilvax Príma Élelmiszerüzlet,61,1052,Budapest,Városház utca,14,,POINT (47.48622 19.07469),Városház utca 14,,,,,,,,,,,,,,,,,+36 1 337 8139,pilvax.cba@gmail.com,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,15:00:00,,,,,,,,,,,,,,,,,,False,Mo-Fr 07:00-20:00; Sa 07:00-15:00; PH off,2021-12-20 08:45:44.177407+00:00,,,47.48622,19.07469,18,Príma,shop,"{'payment:contactless': 'yes', 'payment:cash': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'brand': 'Príma', 'payment:mastercard_contactless': 'yes'}",https://www.prima.hu,huprimacon,(príma abc|prima abc|príma|prima),,True,False,2000.0,200.0,23.0,,,,,2022-02-11 09:58:26.013591,
4355,2400,18,Príma Anker,66,1061,Budapest,Anker köz,1-3,,POINT (47.49806 19.0555),Anker köz 1-3,,,,,,,,,,,,,,,,,+36 1 235 0703,cba-anker@lazarteam.hu,,,,,,,,,,,,,,,,,,,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,07:00:00,08:00:00,20:30:00,20:30:00,20:30:00,20:30:00,21:00:00,21:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Th 07:00-20:30; Fr-Sa 07:00-21:00; Su 08:00-17:00; PH off,2021-12-20 08:45:44.177407+00:00,,,47.49806,19.0555,18,Príma,shop,"{'payment:contactless': 'yes', 'payment:cash': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard': 'yes', 'payment:maestro': 'yes', 'shop': 'convenience', 'brand': 'Príma', 'payment:mastercard_contactless': 'yes'}",https://www.prima.hu,huprimacon,(príma abc|prima abc|príma|prima),,True,False,2000.0,200.0,23.0,,,,,2022-02-11 09:58:26.013591,
