,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
4969,217,23,,40,1024,Budapest,Széna tér,4,,POINT (47.5079 19.02719),Széna tér 4.,https://lny.io/mkb-web-mamut,"Mammut(I) üzletház I.emelet, Akadálymentesen megközelíthető fiók és ATM; A fiókban a Prémium szolgáltatás elérhető.; Telefonszám: + 36 1 315 0690;",,,,,,,,,,,,,,1183,+36 1 315 0690,k392@mkb.hu,,,,,,,,,,,,,,,,,,False,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,17:00:00,17:00:00,17:00:00,17:00:00,17:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Su 9:00-17:00; PH off,2022-06-01 13:18:48.312079+00:00,,,47.5079,19.02719,23,MKB Bank,bank,"{'ref:vatin:hu': '10011922-4-44', 'ref:vatin': 'HU10011922', 'brand': 'MKB Bank', 'air_conditioning': 'yes', 'ref:HU:company': '01 10 040952', 'atm': 'yes', 'operator': 'MKB Bank Nyrt.', 'operator:addr': '1056 Budapest, Váci u. 38.', 'brand:wikidata': 'Q916185', 'brand:wikipedia': 'hu:MKB Bank', 'amenity': 'bank', 'bic': 'MKKBHUHB'}",https://www.mkb.hu,humkbbank,(mkb|mkb bank),(otpbank|otp|otp bank|raiffeisenbank|raiffeisen bank|kh bank|k&h|raiffeisen|budapest bank|takarék bank|takarék),False,False,300.0,100.0,40.0,,,,,2022-06-08 15:28:46.243493,
4970,255,23,,52,1037,Budapest,Vörösvári út,131,,POINT (47.54933 19.02938),Vörösvári út 131.,https://lny.io/mkb-web-k46,A fiókban a Prémium szolgáltatás elérhető.; Telefonszám: (1) 439 3000;,,,,,,,,,,,,,,1184,+36 1 439 3000,k462@mkb.hu,,,,,,,,,,,,,,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,17:00:00,16:00:00,16:00:00,16:00:00,15:00:00,,,,,,,,,,,,,,,,,,,False,Mo 8:00-17:00; Tu-Th 8:00-16:00; Fr 8:00-15:00; PH off,2022-06-01 13:18:48.312079+00:00,,,47.54933,19.02938,23,MKB Bank,bank,"{'ref:vatin:hu': '10011922-4-44', 'ref:vatin': 'HU10011922', 'brand': 'MKB Bank', 'air_conditioning': 'yes', 'ref:HU:company': '01 10 040952', 'atm': 'yes', 'operator': 'MKB Bank Nyrt.', 'operator:addr': '1056 Budapest, Váci u. 38.', 'brand:wikidata': 'Q916185', 'brand:wikipedia': 'hu:MKB Bank', 'amenity': 'bank', 'bic': 'MKKBHUHB'}",https://www.mkb.hu,humkbbank,(mkb|mkb bank),(otpbank|otp|otp bank|raiffeisenbank|raiffeisen bank|kh bank|k&h|raiffeisen|budapest bank|takarék bank|takarék),False,False,300.0,100.0,40.0,,,,,2022-06-08 15:28:46.243493,
4971,230,23,,63,1051,Budapest,Hercegprímás utca,10,,POINT (47.5016 19.05282),Hercegprímás utca 10.,https://lny.io/mkb-web-sztistvan,Akadálymentesen megközelíthető fiók és ATM; A fiókban a Prémium szolgáltatás elérhető.; Telefonszám:(1) 268-7461;,,,,,,,,,,,,,,1185,+36 1 268 7461,k312@mkb.hu,,,,,,,,,,,,,,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,17:00:00,16:00:00,16:00:00,16:00:00,15:00:00,,,,,,,,,,,,,,,,,,,False,Mo 8:00-17:00; Tu-Th 8:00-16:00; Fr 8:00-15:00; PH off,2022-06-01 13:18:48.312079+00:00,,,47.5016,19.05282,23,MKB Bank,bank,"{'ref:vatin:hu': '10011922-4-44', 'ref:vatin': 'HU10011922', 'brand': 'MKB Bank', 'air_conditioning': 'yes', 'ref:HU:company': '01 10 040952', 'atm': 'yes', 'operator': 'MKB Bank Nyrt.', 'operator:addr': '1056 Budapest, Váci u. 38.', 'brand:wikidata': 'Q916185', 'brand:wikipedia': 'hu:MKB Bank', 'amenity': 'bank', 'bic': 'MKKBHUHB'}",https://www.mkb.hu,humkbbank,(mkb|mkb bank),(otpbank|otp|otp bank|raiffeisenbank|raiffeisen bank|kh bank|k&h|raiffeisen|budapest bank|takarék bank|takarék),False,False,300.0,100.0,40.0,,,,,2022-06-08 15:28:46.243493,
4972,264,23,,68,1056,Budapest,Váci utca,38,,POINT (47.49202 19.05409),Váci u. 38.,https://lny.io/mkb-web-szekhaz,; MKB székház; A fiókban a Prémium szolgáltatás elérhető.; Telefonszám:(1) 268-8472;,,,,,,,,,,,,,,1188,+36 1 268 8472,k372@mkb.hu,,,,,,,,,,,,,,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,17:00:00,16:00:00,16:00:00,16:00:00,15:00:00,,,,,,,,,,,,,,,,,,,False,Mo 8:00-17:00; Tu-Th 8:00-16:00; Fr 8:00-15:00; PH off,2022-06-01 13:18:48.312079+00:00,,,47.49202,19.05409,23,MKB Bank,bank,"{'ref:vatin:hu': '10011922-4-44', 'ref:vatin': 'HU10011922', 'brand': 'MKB Bank', 'air_conditioning': 'yes', 'ref:HU:company': '01 10 040952', 'atm': 'yes', 'operator': 'MKB Bank Nyrt.', 'operator:addr': '1056 Budapest, Váci u. 38.', 'brand:wikidata': 'Q916185', 'brand:wikipedia': 'hu:MKB Bank', 'amenity': 'bank', 'bic': 'MKKBHUHB'}",https://www.mkb.hu,humkbbank,(mkb|mkb bank),(otpbank|otp|otp bank|raiffeisenbank|raiffeisen bank|kh bank|k&h|raiffeisen|budapest bank|takarék bank|takarék),False,False,300.0,100.0,40.0,,,,,2022-06-08 15:28:46.243493,
4973,165,23,,96,1093,Budapest,Soroksári út,3/C,,POINT (47.47893 19.06803),Soroksári út 3/C,https://lny.io/mkb-web-k38,Akadálymentesen megközelíthető fiók; Telefonszám: (1) 216-2991;,,,,,,,,,,,,,,1190,+36 1 216 2991,k382@mkb.hu,,,,,,,,,,,,,,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,17:00:00,16:00:00,16:00:00,16:00:00,15:00:00,,,,,,,,,,,,,,,,,,,False,Mo 8:00-17:00; Tu-Th 8:00-16:00; Fr 8:00-15:00; PH off,2022-06-01 13:18:48.312079+00:00,,,47.47893,19.06803,23,MKB Bank,bank,"{'ref:vatin:hu': '10011922-4-44', 'ref:vatin': 'HU10011922', 'brand': 'MKB Bank', 'air_conditioning': 'yes', 'ref:HU:company': '01 10 040952', 'atm': 'yes', 'operator': 'MKB Bank Nyrt.', 'operator:addr': '1056 Budapest, Váci u. 38.', 'brand:wikidata': 'Q916185', 'brand:wikipedia': 'hu:MKB Bank', 'amenity': 'bank', 'bic': 'MKKBHUHB'}",https://www.mkb.hu,humkbbank,(mkb|mkb bank),(otpbank|otp|otp bank|raiffeisenbank|raiffeisen bank|kh bank|k&h|raiffeisen|budapest bank|takarék bank|takarék),False,False,300.0,100.0,40.0,,,,,2022-06-08 15:28:46.243493,
4974,223,23,,107,1106,Budapest,Örs vezér tere,25,,POINT (47.50261 19.13698),Örs vezér tere 25.,https://lny.io/mkb-web-arkad,"Árkád üzletház, földszint; Akadálymentesen megközelíthető fiók és ATM; A fiókban a Prémium szolgáltatás elérhető.; Telefonszám: (1) 434-8110;",,,,,,,,,,,,,,1169,+36 1 434 8110,k452@mkb.hu,,,,,,,,,,,,,,,,,,False,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,17:00:00,17:00:00,17:00:00,17:00:00,17:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Su 9:00-17:00; PH off,2022-06-01 13:18:48.312079+00:00,,,47.50261,19.13698,23,MKB Bank,bank,"{'ref:vatin:hu': '10011922-4-44', 'ref:vatin': 'HU10011922', 'brand': 'MKB Bank', 'air_conditioning': 'yes', 'ref:HU:company': '01 10 040952', 'atm': 'yes', 'operator': 'MKB Bank Nyrt.', 'operator:addr': '1056 Budapest, Váci u. 38.', 'brand:wikidata': 'Q916185', 'brand:wikipedia': 'hu:MKB Bank', 'amenity': 'bank', 'bic': 'MKKBHUHB'}",https://www.mkb.hu,humkbbank,(mkb|mkb bank),(otpbank|otp|otp bank|raiffeisenbank|raiffeisen bank|kh bank|k&h|raiffeisen|budapest bank|takarék bank|takarék),False,False,300.0,100.0,40.0,,,,,2022-06-08 15:28:46.243493,
4975,211,23,,118,1119,Budapest,Fehérvári út,95,,POINT (47.46435 19.04247),Fehérvári út 95.,https://lny.io/mkb-web-k42,Akadálymentesen megközelíthető fiók és ATM; A fiókban a Prémium szolgáltatás elérhető.; Telefonszám:(1) 204-4686;,,,,,,,,,,,,,,1191,+36 1 204 4686,k422@mkb.hu,,,,,,,,,,,,,,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,17:00:00,16:00:00,16:00:00,16:00:00,15:00:00,,,,,,,,,,,,,,,,,,,False,Mo 8:00-17:00; Tu-Th 8:00-16:00; Fr 8:00-15:00; PH off,2022-06-01 13:18:48.312079+00:00,,,47.46435,19.04247,23,MKB Bank,bank,"{'ref:vatin:hu': '10011922-4-44', 'ref:vatin': 'HU10011922', 'brand': 'MKB Bank', 'air_conditioning': 'yes', 'ref:HU:company': '01 10 040952', 'atm': 'yes', 'operator': 'MKB Bank Nyrt.', 'operator:addr': '1056 Budapest, Váci u. 38.', 'brand:wikidata': 'Q916185', 'brand:wikipedia': 'hu:MKB Bank', 'amenity': 'bank', 'bic': 'MKKBHUHB'}",https://www.mkb.hu,humkbbank,(mkb|mkb bank),(otpbank|otp|otp bank|raiffeisenbank|raiffeisen bank|kh bank|k&h|raiffeisen|budapest bank|takarék bank|takarék),False,False,300.0,100.0,40.0,,,,,2022-06-08 15:28:46.243493,
4976,220,23,,122,1124,Budapest,Alkotás út,53,,POINT (47.49094 19.02392),Alkotás út 53.,https://lny.io/mkb-web-k44,"MOM Park, földszint (Alkotás utca - Csörsz utca sarka); Akadálymentesen megközelíthető fiók és ATM; A fiókban a Prémium szolgáltatás elérhető.; Telefonszám:(1) 487-5550;",,,,,,,,,,,,,,1192,+36 1 487 5550,k442@mkb.hu,,,,,,,,,,,,,,,,,,False,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,17:00:00,17:00:00,17:00:00,17:00:00,17:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Su 9:00-17:00; PH off,2022-06-01 13:18:48.312079+00:00,,,47.49094,19.02392,23,MKB Bank,bank,"{'ref:vatin:hu': '10011922-4-44', 'ref:vatin': 'HU10011922', 'brand': 'MKB Bank', 'air_conditioning': 'yes', 'ref:HU:company': '01 10 040952', 'atm': 'yes', 'operator': 'MKB Bank Nyrt.', 'operator:addr': '1056 Budapest, Váci u. 38.', 'brand:wikidata': 'Q916185', 'brand:wikipedia': 'hu:MKB Bank', 'amenity': 'bank', 'bic': 'MKKBHUHB'}",https://www.mkb.hu,humkbbank,(mkb|mkb bank),(otpbank|otp|otp bank|raiffeisenbank|raiffeisen bank|kh bank|k&h|raiffeisen|budapest bank|takarék bank|takarék),False,False,300.0,100.0,40.0,,,,,2022-06-08 15:28:46.243493,
4977,250,23,,126,1132,Budapest,Nyugati tér,5,,POINT (47.5111 19.05508),Nyugati tér 5.,https://lny.io/mkb-web-nyugati,Akadálymentesen megközelíthető fiók; A fiókban a Prémium szolgáltatás elérhető.; Telefonszám: (1) 465-3000;,,,,,,,,,,,,,,1193,+36 1 465 3000,k502@mkb.hu,,,,,,,,,,,,,,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,,17:00:00,16:00:00,16:00:00,16:00:00,15:00:00,,,,,,,,,,,,,,,,,,,False,Mo 8:00-17:00; Tu-Th 8:00-16:00; Fr 8:00-15:00; PH off,2022-06-01 13:18:48.312079+00:00,,,47.5111,19.05508,23,MKB Bank,bank,"{'ref:vatin:hu': '10011922-4-44', 'ref:vatin': 'HU10011922', 'brand': 'MKB Bank', 'air_conditioning': 'yes', 'ref:HU:company': '01 10 040952', 'atm': 'yes', 'operator': 'MKB Bank Nyrt.', 'operator:addr': '1056 Budapest, Váci u. 38.', 'brand:wikidata': 'Q916185', 'brand:wikipedia': 'hu:MKB Bank', 'amenity': 'bank', 'bic': 'MKKBHUHB'}",https://www.mkb.hu,humkbbank,(mkb|mkb bank),(otpbank|otp|otp bank|raiffeisenbank|raiffeisen bank|kh bank|k&h|raiffeisen|budapest bank|takarék bank|takarék),False,False,300.0,100.0,40.0,,,,,2022-06-08 15:28:46.243493,
4978,226,23,,132,1138,Budapest,Váci út,178,,POINT (47.54962 19.07281),Váci út 178.,https://lny.io/mkb-web-duna,"Duna Plaza, 2. emelet; Akadálymentesen megközelíthető fiók és ATM; A fiókban a Prémium szolgáltatás elérhető.; Telefonszám:(1) 239-5110;",,,,,,,,,,,,,,1194,+36 1 239 5110,k362@mkb.hu,,,,,,,,,,,,,,,,,,False,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,09:00:00,17:00:00,17:00:00,17:00:00,17:00:00,17:00:00,17:00:00,17:00:00,,,,,,,,,,,,,,,,,False,Mo-Su 9:00-17:00; PH off,2022-06-01 13:18:48.312079+00:00,,,47.54962,19.07281,23,MKB Bank,bank,"{'ref:vatin:hu': '10011922-4-44', 'ref:vatin': 'HU10011922', 'brand': 'MKB Bank', 'air_conditioning': 'yes', 'ref:HU:company': '01 10 040952', 'atm': 'yes', 'operator': 'MKB Bank Nyrt.', 'operator:addr': '1056 Budapest, Váci u. 38.', 'brand:wikidata': 'Q916185', 'brand:wikipedia': 'hu:MKB Bank', 'amenity': 'bank', 'bic': 'MKKBHUHB'}",https://www.mkb.hu,humkbbank,(mkb|mkb bank),(otpbank|otp|otp bank|raiffeisenbank|raiffeisen bank|kh bank|k&h|raiffeisen|budapest bank|takarék bank|takarék),False,False,300.0,100.0,40.0,,,,,2022-06-08 15:28:46.243493,
