,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance,poi_new
800,657,6,Óbuda,36,1023,Budapest,Lajos utca,30,,POINT (47.5272 19.0383),Lajos utca 30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-12-20 08:45:34.256019+00:00,,,47.5271429,19.0380644,6,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'brand:wikidata': 'Q27493463', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'operator:addr': '1138 Budapest, Váci út 193.', 'amenity': 'bank', 'ref:vatin': 'HU10196445'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,5051943838,OSM_object_type.node,8,0,2021-12-17 19:01:23.000000,"{'opening_hours': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'addr:suburb': 'Újlak', 'operator': 'Budapest Bank Zrt.', 'opening_hours:covid19': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'addr:postcode': '1023', 'addr:street': 'Lajos utca', 'ref:vatin': 'HU10196445', 'contact:phone': '+36 1 477 7777', 'amenity': 'bank', 'name': 'Budapest Bank', 'addr:city': 'Budapest', 'addr:housenumber': '30', 'brand': 'Budapest Bank', 'source:www.budapestbank.hu:date': '2021-12-17', 'branch': 'Óbuda', 'brand:wikidata': 'Q27493463', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'contact:website': 'https://www.budapestbank.hu', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes'}",,0,
801,848,6,Mammut,37,1024,Budapest,Lövőház utca,2-6,,POINT (47.5086 19.0272),Lövőház utca 2-6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-12-20 08:45:34.256019+00:00,,,47.5087419,19.0271362,6,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'brand:wikidata': 'Q27493463', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'operator:addr': '1138 Budapest, Váci út 193.', 'amenity': 'bank', 'ref:vatin': 'HU10196445'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,6760370780,OSM_object_type.node,5,0,2021-12-17 19:01:23.000000,"{'opening_hours': 'Mo 09:00-18:00; Tu-Th 09:00-17:00; Fr 09:00-16:00; PH off', 'operator': 'Budapest Bank Zrt.', 'opening_hours:covid19': 'same', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'addr:postcode': '1024', 'addr:street': 'Lövőház utca', 'ref:vatin': 'HU10196445', 'amenity': 'bank', 'name': 'Budapest Bank', 'addr:city': 'Budapest', 'addr:housenumber': '2-6', 'brand': 'Budapest Bank', 'source:www.budapestbank.hu:date': '2021-12-17', 'branch': 'Mammut', 'brand:wikidata': 'Q27493463', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'contact:website': 'https://www.budapestbank.hu', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes'}",,0,
802,616,6,Budagyöngye,39,1026,Budapest,Pázsit utca,2,,POINT (47.5161 19.0002),Pázsit utca 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-12-20 08:45:34.256019+00:00,,,47.5161565,19.0001274,6,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'brand:wikidata': 'Q27493463', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'operator:addr': '1138 Budapest, Váci út 193.', 'amenity': 'bank', 'ref:vatin': 'HU10196445'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,339285927,OSM_object_type.node,7,0,2021-12-17 19:01:23.000000,,,0,
803,660,6,Békásmegyer,51,1039,Budapest,Heltai Jenő tér,15,,POINT (47.5973 19.056),Heltai Jenő tér 15.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-12-20 08:45:34.256019+00:00,,,47.5973,19.056,6,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'brand:wikidata': 'Q27493463', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'operator:addr': '1138 Budapest, Váci út 193.', 'amenity': 'bank', 'ref:vatin': 'HU10196445'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,,,,,2022-01-13 14:06:57.269163,,,,
804,560,6,Újpest,53,1042,Budapest,Árpád út,57-59,,POINT (47.5606 19.088),Árpád út 57-59. Fszt. 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-12-20 08:45:34.256019+00:00,,,47.5604416,19.0879312,6,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'brand:wikidata': 'Q27493463', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'operator:addr': '1138 Budapest, Váci út 193.', 'amenity': 'bank', 'ref:vatin': 'HU10196445'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,3117983111,OSM_object_type.node,6,0,2021-12-17 19:01:23.000000,"{'opening_hours': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'operator': 'Budapest Bank Zrt.', 'opening_hours:covid19': 'same', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'addr:postcode': '1042', 'addr:street': 'Árpád út', 'ref:vatin': 'HU10196445', 'amenity': 'bank', 'air_conditioning': 'yes', 'name': 'Budapest Bank', 'addr:city': 'Budapest', 'addr:housenumber': '57-59', 'brand': 'Budapest Bank', 'source:www.budapestbank.hu:date': '2021-12-17', 'branch': 'Újpest', 'brand:wikidata': 'Q27493463', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'wheelchair': 'yes', 'operator:addr': '1138 Budapest, Váci út 193.', 'contact:website': 'https://www.budapestbank.hu'}",,0,
805,572,6,Lipótváros,63,1055,Budapest,Kossuth Lajos tér,10,,POINT (47.5058 19.048),Kossuth Lajos tér 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-12-20 08:45:34.256019+00:00,,,47.5055788,19.0475877,6,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'brand:wikidata': 'Q27493463', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'operator:addr': '1138 Budapest, Váci út 193.', 'amenity': 'bank', 'ref:vatin': 'HU10196445'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,4118559795,OSM_object_type.node,6,0,2021-12-17 19:01:23.000000,"{'opening_hours': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'operator': 'Budapest Bank Zrt.', 'opening_hours:covid19': 'same', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'addr:postcode': '1055', 'addr:street': 'Kossuth Lajos tér', 'ref:vatin': 'HU10196445', 'amenity': 'bank', 'air_conditioning': 'yes', 'name': 'Budapest Bank', 'addr:city': 'Budapest', 'addr:housenumber': '10', 'brand': 'Budapest Bank', 'source:www.budapestbank.hu:date': '2021-12-17', 'branch': 'Lipótváros', 'brand:wikidata': 'Q27493463', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'level': '0', 'operator:addr': '1138 Budapest, Váci út 193.', 'contact:website': 'https://www.budapestbank.hu'}",,0,
806,526,6,Belváros,70,1065,Budapest,Bajcsy-Zsilinszky út,5,,POINT (47.4986 19.0551),Bajcsy-Zsilinszky út 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-12-20 08:45:34.256019+00:00,,,47.4985831,19.0550602,6,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'brand:wikidata': 'Q27493463', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'operator:addr': '1138 Budapest, Váci út 193.', 'amenity': 'bank', 'ref:vatin': 'HU10196445'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,1981759042,OSM_object_type.node,14,0,2021-12-17 19:01:23.000000,"{'opening_hours': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'operator': 'Budapest Bank Zrt.', 'opening_hours:covid19': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'bic': 'BUDAHUHB', 'atm': 'yes', 'drive_through': 'no', 'ref:HU:company': '01 10 041037', 'addr:postcode': '1065', 'name:it': 'Budapest', 'addr:street': 'Bajcsy-Zsilinszky út', 'ref:vatin': 'HU10196445', 'amenity': 'bank', 'contact:website': 'https://www.budapestbank.hu', 'name': 'Budapest Bank', 'addr:city': 'Budapest', 'addr:housenumber': '5', 'brand': 'Budapest Bank', 'source:www.budapestbank.hu:date': '2021-12-17', 'branch': 'Belváros', 'brand:wikidata': 'Q27493463', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'wheelchair': 'limited', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes'}",,0,
807,745,6,EMKE,75,1072,Budapest,Rákóczi út,42,,POINT (47.4969 19.0691),Rákóczi út 42.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-12-20 08:45:34.256019+00:00,,,47.4969091,19.0691497,6,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'brand:wikidata': 'Q27493463', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'operator:addr': '1138 Budapest, Váci út 193.', 'amenity': 'bank', 'ref:vatin': 'HU10196445'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,1160266696,OSM_object_type.node,11,0,2021-12-17 19:01:23.000000,"{'opening_hours': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'operator': 'Budapest Bank Zrt.', 'opening_hours:covid19': 'same', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'addr:postcode': '1072', 'addr:street': 'Rákóczi út', 'ref:vatin': 'HU10196445', 'amenity': 'bank', 'air_conditioning': 'yes', 'name': 'Budapest Bank', 'addr:city': 'Budapest', 'addr:housenumber': '42', 'brand': 'Budapest Bank', 'source:www.budapestbank.hu:date': '2021-12-17', 'branch': 'EMKE', 'brand:wikidata': 'Q27493463', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'wheelchair': 'limited', 'operator:addr': '1138 Budapest, Váci út 193.', 'contact:website': 'https://www.budapestbank.hu'}",,0,
808,796,6,József krt,86,1085,Budapest,József körút,36,,POINT (47.4921 19.0712),József körút 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-12-20 08:45:34.256019+00:00,,,47.4920542,19.0713124,6,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'brand:wikidata': 'Q27493463', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'operator:addr': '1138 Budapest, Váci út 193.', 'amenity': 'bank', 'ref:vatin': 'HU10196445'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,4745074012,OSM_object_type.node,8,0,2021-12-17 19:01:23.000000,"{'opening_hours': 'Mo-Th 08:00-16:00; Fr 08:00-12:00; PH off', 'source:date': '2020-09-28', 'operator': 'Budapest Bank Zrt.', 'source': 'website', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'ref:vatin': 'HU10196445', 'addr:postcode': '1085', 'addr:street': 'József körút', 'air_conditioning': 'yes', 'amenity': 'bank', 'contact:website': 'https://www.budapestbank.hu', 'name': 'Budapest Bank', 'addr:city': 'Budapest', 'addr:housenumber': '36', 'brand': 'Budapest Bank', 'source:www.budapestbank.hu:date': '2021-12-17', 'branch': 'József krt', 'brand:wikidata': 'Q27493463', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'level': '0', 'operator:addr': '1138 Budapest, Váci út 193.', 'wheelchair': 'yes'}",,0,
809,568,6,Kőbánya,100,1102,Budapest,Kőrösi Csoma sétány,4,,POINT (47.484 19.1297),Kőrösi Cs. sétány 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-12-20 08:45:34.256019+00:00,,,47.4838338,19.1295427,6,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'brand:wikidata': 'Q27493463', 'air_conditioning': 'yes', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'operator:addr': '1138 Budapest, Váci út 193.', 'amenity': 'bank', 'ref:vatin': 'HU10196445'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,6362854252,OSM_object_type.node,7,0,2021-12-17 19:01:23.000000,"{'opening_hours': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'operator': 'Budapest Bank Zrt.', 'opening_hours:covid19': 'Mo 08:00-17:00; Tu-Th 08:00-16:00; Fr 08:00-15:00; PH off', 'bic': 'BUDAHUHB', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'addr:postcode': '1102', 'addr:street': 'Kőrösi Csoma sétány', 'ref:vatin': 'HU10196445', 'contact:phone': '+36 1 477 7777', 'amenity': 'bank', 'name': 'Budapest Bank', 'addr:city': 'Budapest', 'addr:housenumber': '4', 'brand': 'Budapest Bank', 'source:www.budapestbank.hu:date': '2021-12-17', 'branch': 'Kőbánya', 'brand:wikidata': 'Q27493463', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'contact:website': 'https://www.budapestbank.hu', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes'}",,21.93750827,
