,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
6972,3888,41,Spar szupermarket Budapest,31,1011,Budapest,Batthyány tér,5-6,,POINT (47.506062 19.038035),Batthyány tér 5-6.,/uzletek/spar-szupermarket-budapest-1011-batthyany-ter-5-6-,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-06-01 13:19:13.357638+00:00,,,47.506062,19.038035,41,Spar,shop,"{'payment:visa': 'yes', 'payment:multipay': 'yes', 'shop': 'supermarket', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'phone': '+36208237727', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand:wikidata': 'Q610492', 'brand:wikipedia': 'hu:Spar', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'payment:contactless': 'yes', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'brand': 'Spar', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'payment:mastercard': 'yes', 'payment:v_pay': 'yes', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_cafeteria': 'yes', 'contact:email': 'vevoszolgalat@spar.hu', 'payment:edenred_voucher': 'yes', 'payment:maestro': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'payment:visa_electron': 'yes', 'payment:erzsebet_plus': 'yes'}",https://www.spar.hu,husparsup,(spar|spar supermarket),,False,False,2000.0,200.0,15.0,,,,,2022-06-08 15:28:46.243493,
6973,3676,41,Spar Szupermarket,33,1013,Budapest,Alagút utca,5-7,,POINT (47.49703 19.03245),Alagút utca 5-7.,/uzletek/spar-szupermarket-budapest-1013-alagut-utca-5-7-,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-06-01 13:19:13.357638+00:00,,,47.49703,19.03245,41,Spar,shop,"{'payment:visa': 'yes', 'payment:multipay': 'yes', 'shop': 'supermarket', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'phone': '+36208237727', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand:wikidata': 'Q610492', 'brand:wikipedia': 'hu:Spar', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'payment:contactless': 'yes', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'brand': 'Spar', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'payment:mastercard': 'yes', 'payment:v_pay': 'yes', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_cafeteria': 'yes', 'contact:email': 'vevoszolgalat@spar.hu', 'payment:edenred_voucher': 'yes', 'payment:maestro': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'payment:visa_electron': 'yes', 'payment:erzsebet_plus': 'yes'}",https://www.spar.hu,husparsup,(spar|spar supermarket),,False,False,2000.0,200.0,15.0,,,,,2022-06-08 15:28:46.243493,
6974,3780,41,Spar market Budapest,36,1016,Budapest,Mészáros utca,12,,POINT (47.4955187 19.0295843),Mészáros utca 12.,/uzletek/spar-market-budapest-1016-meszaros-utca-12-,,,,,,,,,,,,,,,6910400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-06-01 13:19:13.357638+00:00,,,47.4955187,19.0295843,41,Spar,shop,"{'payment:visa': 'yes', 'payment:multipay': 'yes', 'shop': 'supermarket', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'phone': '+36208237727', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand:wikidata': 'Q610492', 'brand:wikipedia': 'hu:Spar', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'payment:contactless': 'yes', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'brand': 'Spar', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'payment:mastercard': 'yes', 'payment:v_pay': 'yes', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_cafeteria': 'yes', 'contact:email': 'vevoszolgalat@spar.hu', 'payment:edenred_voucher': 'yes', 'payment:maestro': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'payment:visa_electron': 'yes', 'payment:erzsebet_plus': 'yes'}",https://www.spar.hu,husparsup,(spar|spar supermarket),,False,False,2000.0,200.0,15.0,,,,,2022-06-08 15:28:46.243493,
6975,3795,41,"Spar market Budapest, Szilágyi E. fasor",0,1020,Budapest,Szilágyi Erzsébet fasor,63,,POINT (47.51017 19.00922),Szilágyi Erzsébet fasor 63.,/uzletek/spar-market-budapest-1020-szilagyi-erzsebet-fasor-63-,,,,,,,,,,,,,,,6912700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-06-01 13:19:13.357638+00:00,,,47.51017,19.00922,41,Spar,shop,"{'payment:visa': 'yes', 'payment:multipay': 'yes', 'shop': 'supermarket', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'phone': '+36208237727', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand:wikidata': 'Q610492', 'brand:wikipedia': 'hu:Spar', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'payment:contactless': 'yes', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'brand': 'Spar', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'payment:mastercard': 'yes', 'payment:v_pay': 'yes', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_cafeteria': 'yes', 'contact:email': 'vevoszolgalat@spar.hu', 'payment:edenred_voucher': 'yes', 'payment:maestro': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'payment:visa_electron': 'yes', 'payment:erzsebet_plus': 'yes'}",https://www.spar.hu,husparsup,(spar|spar supermarket),,False,False,2000.0,200.0,15.0,,,,,2022-06-08 15:28:46.243493,
6976,3963,41,Spar szupermarket Budapest,37,1021,Budapest,Hűvösvölgyi út,138,,POINT (47.53763 18.966444),Hűvösvölgyi út 138.,/uzletek/spar-szupermarket-budapest-1021-hvoesvoelgyi-ut-138-,,,,,,,,,,,,,,,8264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-06-01 13:19:13.357638+00:00,,,47.53763,18.966444,41,Spar,shop,"{'payment:visa': 'yes', 'payment:multipay': 'yes', 'shop': 'supermarket', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'phone': '+36208237727', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand:wikidata': 'Q610492', 'brand:wikipedia': 'hu:Spar', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'payment:contactless': 'yes', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'brand': 'Spar', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'payment:mastercard': 'yes', 'payment:v_pay': 'yes', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_cafeteria': 'yes', 'contact:email': 'vevoszolgalat@spar.hu', 'payment:edenred_voucher': 'yes', 'payment:maestro': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'payment:visa_electron': 'yes', 'payment:erzsebet_plus': 'yes'}",https://www.spar.hu,husparsup,(spar|spar supermarket),,False,False,2000.0,200.0,15.0,,,,,2022-06-08 15:28:46.243493,
6977,3911,41,Spar szupermarket Budapest,40,1024,Budapest,Lövőház utca,2-6,,POINT (47.508788 19.027246),Lövőház utca 2-6.,/uzletek/spar-szupermarket-budapest-1024-loevhaz-utca-2-6-,,,,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-06-01 13:19:13.357638+00:00,,,47.508788,19.027246,41,Spar,shop,"{'payment:visa': 'yes', 'payment:multipay': 'yes', 'shop': 'supermarket', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'phone': '+36208237727', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand:wikidata': 'Q610492', 'brand:wikipedia': 'hu:Spar', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'payment:contactless': 'yes', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'brand': 'Spar', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'payment:mastercard': 'yes', 'payment:v_pay': 'yes', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_cafeteria': 'yes', 'contact:email': 'vevoszolgalat@spar.hu', 'payment:edenred_voucher': 'yes', 'payment:maestro': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'payment:visa_electron': 'yes', 'payment:erzsebet_plus': 'yes'}",https://www.spar.hu,husparsup,(spar|spar supermarket),,False,False,2000.0,200.0,15.0,,,,,2022-06-08 15:28:46.243493,
6978,3509,41,City Spar Budapest,40,1024,Budapest,Retek utca,4,,POINT (47.508069 19.025903),Retek utca 4.,/uzletek/city-spar-budapest-1024-retek-utca-4-,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-06-01 13:19:13.357638+00:00,,,47.508069,19.025903,41,Spar,shop,"{'payment:visa': 'yes', 'payment:multipay': 'yes', 'shop': 'supermarket', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'phone': '+36208237727', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand:wikidata': 'Q610492', 'brand:wikipedia': 'hu:Spar', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'payment:contactless': 'yes', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'brand': 'Spar', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'payment:mastercard': 'yes', 'payment:v_pay': 'yes', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_cafeteria': 'yes', 'contact:email': 'vevoszolgalat@spar.hu', 'payment:edenred_voucher': 'yes', 'payment:maestro': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'payment:visa_electron': 'yes', 'payment:erzsebet_plus': 'yes'}",https://www.spar.hu,husparsup,(spar|spar supermarket),,False,False,2000.0,200.0,15.0,,,,,2022-06-08 15:28:46.243493,
6979,3957,41,Spar szupermarket Budapest,41,1025,Budapest,Törökvész út,87-91,,POINT (47.529338 19.005061),Törökvész út 87-91.,/uzletek/spar-szupermarket-budapest-1025-toeroekvesz-ut-87-91-,,,,,,,,,,,,,,,8257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-06-01 13:19:13.357638+00:00,,,47.529338,19.005061,41,Spar,shop,"{'payment:visa': 'yes', 'payment:multipay': 'yes', 'shop': 'supermarket', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'phone': '+36208237727', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand:wikidata': 'Q610492', 'brand:wikipedia': 'hu:Spar', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'payment:contactless': 'yes', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'brand': 'Spar', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'payment:mastercard': 'yes', 'payment:v_pay': 'yes', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_cafeteria': 'yes', 'contact:email': 'vevoszolgalat@spar.hu', 'payment:edenred_voucher': 'yes', 'payment:maestro': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'payment:visa_electron': 'yes', 'payment:erzsebet_plus': 'yes'}",https://www.spar.hu,husparsup,(spar|spar supermarket),,False,False,2000.0,200.0,15.0,,,,,2022-06-08 15:28:46.243493,
6980,3961,41,Spar szupermarket Budapest,42,1026,Budapest,Gábor Áron utca,74-78,,POINT (47.522315 19.015081),Gábor Áron utca 74-78/a.,/uzletek/spar-szupermarket-budapest-1026-gabor-aron-utca-74-78-a-,,,,,,,,,,,,,,,8262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-06-01 13:19:13.357638+00:00,,,47.522315,19.015081,41,Spar,shop,"{'payment:visa': 'yes', 'payment:multipay': 'yes', 'shop': 'supermarket', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'phone': '+36208237727', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand:wikidata': 'Q610492', 'brand:wikipedia': 'hu:Spar', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'payment:contactless': 'yes', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'brand': 'Spar', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'payment:mastercard': 'yes', 'payment:v_pay': 'yes', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_cafeteria': 'yes', 'contact:email': 'vevoszolgalat@spar.hu', 'payment:edenred_voucher': 'yes', 'payment:maestro': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'payment:visa_electron': 'yes', 'payment:erzsebet_plus': 'yes'}",https://www.spar.hu,husparsup,(spar|spar supermarket),,False,False,2000.0,200.0,15.0,,,,,2022-06-08 15:28:46.243493,
6981,3786,41,Spar market Budapest,43,1027,Budapest,Horvát utca,12-26,,POINT (47.5102 19.0346),Horvát utca 12-26,/uzletek/spar-market-budapest-1027-horvat-utca-12-26,,,,,,,,,,,,,,,6911400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2022-06-01 13:19:13.357638+00:00,,,47.5102,19.0346,41,Spar,shop,"{'payment:visa': 'yes', 'payment:multipay': 'yes', 'shop': 'supermarket', 'payment:edenred_card': 'yes', 'payment:cash': 'yes', 'payment:otp_bankpont': 'yes', 'phone': '+36208237727', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand:wikidata': 'Q610492', 'brand:wikipedia': 'hu:Spar', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'payment:contactless': 'yes', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'brand': 'Spar', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'payment:mastercard': 'yes', 'payment:v_pay': 'yes', 'payment:jcb': 'yes', 'payment:american_express': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_cafeteria': 'yes', 'contact:email': 'vevoszolgalat@spar.hu', 'payment:edenred_voucher': 'yes', 'payment:maestro': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:unionpay': 'yes', 'payment:erzsebet': 'yes', 'payment:visa_electron': 'yes', 'payment:erzsebet_plus': 'yes'}",https://www.spar.hu,husparsup,(spar|spar supermarket),,False,False,2000.0,200.0,15.0,,,,,2022-06-08 15:28:46.243493,
