,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_good,poi_bad,poi_hash,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
1552,2715,10,,32,1015,Budapest,Széna tér,1/A,,POINT (47.50757 19.02719),Széna tér 1/a,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-i-kerulet/szena-ter-patika/,,,,,,,,,,,,,,,,+36 1 225 7830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:43:28.832643+00:00,,,47.50757,19.02719,10,Benu gyógyszertár,pharmacy,"{'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'payment:mastercard_electronic': 'yes', 'dispensing': 'yes', 'payment:visa': 'yes', 'payment:maestro': 'yes', 'air_conditioning': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'amenity': 'pharmacy', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Benu gyógyszertár', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,2000.0,200.0,20.0,,,,,2020-12-25 09:26:13.455427,
1553,2704,10,,39,1026,Budapest,Gábor Áron utca,74-78,,POINT (47.52252 19.01479),Gábor Áron út 74-78.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-ii-kerulet/rozsakert-patika/,,,,,,,,,,,,,,,,+36 1 391 5830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:43:28.832643+00:00,,,47.52252,19.01479,10,Benu gyógyszertár,pharmacy,"{'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'payment:mastercard_electronic': 'yes', 'dispensing': 'yes', 'payment:visa': 'yes', 'payment:maestro': 'yes', 'air_conditioning': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'amenity': 'pharmacy', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Benu gyógyszertár', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,2000.0,200.0,20.0,,,,,2020-12-25 09:26:13.455427,
1554,2638,10,,44,1032,Budapest,Ágoston utca,2,,POINT (47.54533 19.03207),Ágoston utca 2.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-iii-kerulet/igazsag-gyogyszertar/,,,,,,,,,,,,,,,,+36 1 250 5132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:43:28.832643+00:00,,,47.54533,19.03207,10,Benu gyógyszertár,pharmacy,"{'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'payment:mastercard_electronic': 'yes', 'dispensing': 'yes', 'payment:visa': 'yes', 'payment:maestro': 'yes', 'air_conditioning': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'amenity': 'pharmacy', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Benu gyógyszertár', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,2000.0,200.0,20.0,,,,,2020-12-25 09:26:13.455427,
1555,2661,10,,44,1032,Budapest,Kiscelli utca,68,,POINT (47.53875 19.03487),Kiscelli utca 68.,https://benu.hu/gyogyszertarak/budapest-3-kerulet/kiscelli-patika/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:43:28.832643+00:00,,,47.53875,19.03487,10,Benu gyógyszertár,pharmacy,"{'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'payment:mastercard_electronic': 'yes', 'dispensing': 'yes', 'payment:visa': 'yes', 'payment:maestro': 'yes', 'air_conditioning': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'amenity': 'pharmacy', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Benu gyógyszertár', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,2000.0,200.0,20.0,,,,,2020-12-25 09:26:13.455427,
1556,2491,10,BENU Gyógyszertár Budapest Zsálya,45,1033,Budapest,Pethe Ferenc tér,3,,POINT (47.55741 19.04416),Pethe Ferenc tér 3.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-iii-kerulet/benu-gyogyszertar-budapest-zsalya/,,,,,,,,,,,,,,,,+36 1 367 1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:43:28.832643+00:00,,,47.55741,19.04416,10,Benu gyógyszertár,pharmacy,"{'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'payment:mastercard_electronic': 'yes', 'dispensing': 'yes', 'payment:visa': 'yes', 'payment:maestro': 'yes', 'air_conditioning': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'amenity': 'pharmacy', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Benu gyógyszertár', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,2000.0,200.0,20.0,,,,,2020-12-25 09:26:13.455427,
1557,2433,10,,45,1033,Budapest,Szentendrei út,19,,POINT (47.54802 19.04401),Szentendrei út 19.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-iii-kerulet/achillea-gyogyszertar/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:43:28.832643+00:00,,,47.54802,19.04401,10,Benu gyógyszertár,pharmacy,"{'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'payment:mastercard_electronic': 'yes', 'dispensing': 'yes', 'payment:visa': 'yes', 'payment:maestro': 'yes', 'air_conditioning': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'amenity': 'pharmacy', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Benu gyógyszertár', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,2000.0,200.0,20.0,,,,,2020-12-25 09:26:13.455427,
1558,2459,10,BENU Gyógyszertár Budapest Auróra,50,1038,Budapest,Csobánka tér,1,,POINT (47.59824 19.05154),Csobánka tér 1.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-iii-kerulet/benu-gyogyszertar-budapest-aurora/,,,,,,,,,,,,,,,,+36 1 243 1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,['not_in_water'],"['street_is_not_around', 'street_metaphone_is_not_around']",,2020-12-13 09:43:28.832643+00:00,,,47.59824,19.05154,10,Benu gyógyszertár,pharmacy,"{'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'payment:mastercard_electronic': 'yes', 'dispensing': 'yes', 'payment:visa': 'yes', 'payment:maestro': 'yes', 'air_conditioning': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'amenity': 'pharmacy', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Benu gyógyszertár', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,2000.0,200.0,20.0,,,,,2020-12-25 09:26:13.455427,
1559,2460,10,BENU Gyógyszertár Budapest Békás,51,1039,Budapest,Boglár utca,3,,POINT (47.59593 19.06183),Boglár utca 3.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-iii-kerulet/benu-gyogyszertar-budapest-bekas/,,,,,,,,,,,,,,,,+36 1 244 2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:43:28.832643+00:00,,,47.59593,19.06183,10,Benu gyógyszertár,pharmacy,"{'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'payment:mastercard_electronic': 'yes', 'dispensing': 'yes', 'payment:visa': 'yes', 'payment:maestro': 'yes', 'air_conditioning': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'amenity': 'pharmacy', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Benu gyógyszertár', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,2000.0,200.0,20.0,,,,,2020-12-25 09:26:13.455427,
1560,2680,10,,51,1039,Budapest,Heltai Jenő tér,1-3,,POINT (47.59827 19.05726),Heltai Jenő tér 1-3. ,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-iii-kerulet/megyeri-gyogyszertar/,,,,,,,,,,,,,,,,+36 1 454 0661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:43:28.832643+00:00,,,47.59827,19.05726,10,Benu gyógyszertár,pharmacy,"{'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'payment:mastercard_electronic': 'yes', 'dispensing': 'yes', 'payment:visa': 'yes', 'payment:maestro': 'yes', 'air_conditioning': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'amenity': 'pharmacy', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Benu gyógyszertár', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,2000.0,200.0,20.0,,,,,2020-12-25 09:26:13.455427,
1561,2683,10,,51,1039,Budapest,Rákóczi utca,36,,POINT (47.58104 19.04967),Rákóczi út 36.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-iii-kerulet/nadaly-gyogyszertar/,,,,,,,,,,,,,,,,+36 1 250 8610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,"['not_in_water', 'street_is_around', 'street_metaphone_is_around']",[],,2020-12-13 09:43:28.832643+00:00,,,47.58104,19.04967,10,Benu gyógyszertár,pharmacy,"{'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'payment:mastercard_electronic': 'yes', 'dispensing': 'yes', 'payment:visa': 'yes', 'payment:maestro': 'yes', 'air_conditioning': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'amenity': 'pharmacy', 'payment:mastercard': 'yes', 'payment:contactless': 'yes', 'payment:visa_electron': 'yes', 'brand': 'Benu gyógyszertár', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,2000.0,200.0,20.0,,,,,2020-12-25 09:26:13.455427,
